replicate,bDA,status,iterations,error
1,8.069225886762087,success,5,
2,7.2469329141995384,success,5,
3,8.802665675928704,success,4,
4,7.892953367792775,success,4,
5,7.629327771024814,success,5,
6,8.522747917111124,success,4,
7,7.421698912591906,success,4,
8,6.786833083365304,success,4,
9,7.824500845343776,success,4,
10,7.7911619246444666,success,4,
11,8.106314000026641,success,4,
12,7.943467633219095,success,4,
13,8.186366932299876,success,4,
14,7.780390821117645,success,4,
15,8.221321301698694,success,4,
16,7.518139969613704,success,4,
17,7.066866329652765,success,4,
18,7.594717930415827,success,5,
19,7.719346674537979,success,4,
20,6.9955829487297185,success,4,
21,7.161702452493856,success,4,
22,7.481391542635132,success,4,
23,6.891615937443007,success,4,
24,8.819885589844995,success,4,
25,6.563262208902011,success,5,
26,7.823370675933383,success,4,
27,7.863673196278386,success,4,
28,7.524803436137252,success,4,
29,7.974120598220672,success,4,
30,7.086265944747338,success,5,
31,7.50766380552411,success,4,
32,7.143738862751939,success,4,
33,7.236601277429205,success,5,
34,7.463475739669857,success,5,
35,7.7806027318939375,success,4,
36,8.31841761840523,success,4,
37,8.347788475841435,success,4,
38,7.237664233776618,success,5,
39,7.163262988583135,success,4,
40,6.446567925143012,success,5,
41,8.562926216925895,success,4,
42,6.777101318345056,success,4,
43,8.372935210025007,success,4,
44,7.376155027935628,success,4,
45,7.229883356205486,success,4,
46,6.69060005293795,success,5,
47,8.94385081387641,success,4,
48,6.6648710676686616,success,5,
49,7.685070325329926,success,4,
50,7.4869076399490115,success,4,
51,7.8693531605734455,success,4,
52,8.368226037712391,success,4,
53,8.018392814525226,success,4,
54,7.809044301191692,success,5,
55,8.699535182806034,success,4,
56,8.621109222678628,success,5,
57,7.4550296234461575,success,4,
58,8.36918065909636,success,4,
59,7.473137297835669,success,4,
60,7.792473692907205,success,4,
61,7.456390606649452,success,4,
62,8.54398000570477,success,5,
63,7.03033014885449,success,5,
64,8.38939816611868,success,4,
65,7.43680637453853,success,4,
66,7.448763295134274,success,4,
67,6.720609448495824,success,4,
68,7.627796301336007,success,4,
69,8.167358417080717,success,4,
70,7.166898838535605,success,4,
71,7.708501334910019,success,5,
72,8.38140185445296,success,4,
73,7.582019079022566,success,4,
74,7.523527403116135,success,4,
75,6.93007546916303,success,4,
76,7.75133812913908,success,4,
77,6.9543354301549964,success,4,
78,8.524242944323735,success,4,
79,8.000131394259556,success,4,
80,7.63525752428416,success,4,
81,7.86997827344081,success,4,
82,7.847671639320704,success,4,
83,7.216768870999668,success,4,
84,7.546911274187676,success,4,
85,7.824501457709897,success,4,
86,8.031251651978005,success,5,
87,7.493460987461929,success,4,
88,8.22567713190044,success,4,
89,7.351585711678565,success,4,
90,6.790519097497248,success,4,
91,7.386068916561466,success,5,
92,7.667547127100802,success,4,
93,7.59922782040483,success,5,
94,6.433841707620162,success,5,
95,7.271909968319604,success,4,
96,8.09918377820868,success,4,
97,6.832959627245357,success,4,
98,7.3243978418387385,success,4,
99,7.160108145865828,success,4,
100,7.488141635675837,success,4,
101,6.6051395145202445,success,5,
102,8.008858788532846,success,4,
103,7.7703411384213545,success,4,
104,7.453983273781771,success,4,
105,7.841243797016123,success,4,
106,8.419074245298322,success,4,
107,7.524776330362254,success,5,
108,7.352933889052888,success,4,
109,7.786407200013064,success,4,
110,8.283762241537401,success,4,
111,7.667079407083701,success,4,
112,8.348422260866966,success,4,
113,7.845921293192153,success,4,
114,7.677793504087272,success,4,
115,7.101238639434207,success,4,
116,7.655777993193384,success,5,
117,7.660349169138041,success,4,
118,7.329249217987688,success,5,
119,6.015977289647908,success,5,
120,6.985680110036692,success,4,
121,6.645706408665172,success,4,
122,7.638547437074585,success,5,
123,7.741421411495554,success,4,
124,8.168873693276588,success,5,
125,8.290442968481678,success,4,
126,7.444385364171415,success,4,
127,8.234604039189096,success,4,
128,7.466199530121346,success,4,
129,8.820094652143128,success,4,
130,7.301840894387527,success,4,
131,7.677658584047783,success,4,
132,7.419207585825164,success,4,
133,8.074320284104195,success,4,
134,7.077907756272225,success,4,
135,7.506196006130328,success,5,
136,6.947408033955964,success,4,
137,7.802298537747685,success,4,
138,8.136819880967698,success,4,
139,8.994143045859051,success,4,
140,7.05701024030361,success,4,
141,7.931896511419723,success,4,
142,8.867619776246846,success,4,
143,7.256795659621288,success,4,
144,7.551895911030415,success,4,
145,7.1802172960841935,success,4,
146,6.784216994613216,success,5,
147,8.858937964009723,success,4,
148,6.62862936365432,success,5,
149,8.134665480499468,success,4,
150,7.396023896010649,success,4,
151,7.583572522385035,success,4,
152,8.481359476711466,success,4,
153,6.983752718215111,success,4,
154,7.871437914816294,success,4,
155,7.968811361834788,success,4,
156,7.292708156568616,success,5,
157,9.114957092609568,success,5,
158,6.801163549948407,success,4,
159,8.100407770439698,success,4,
160,7.566753443171319,success,4,
161,8.107756030154011,success,4,
162,7.943874799367933,success,4,
163,7.421825944751583,success,5,
164,7.1686493863473215,success,4,
165,8.094520804119187,success,4,
166,8.129061741804888,success,4,
167,8.11271037595928,success,5,
168,8.227946035983992,success,5,
169,6.98807562281213,success,5,
170,8.081780383107287,success,4,
171,7.903219171461786,success,4,
172,7.02345561097517,success,5,
173,8.042622162563381,success,5,
174,7.253570075614655,success,4,
175,8.047538311335114,success,4,
176,8.653793728714318,success,4,
177,8.223730348136224,success,4,
178,7.337850510537601,success,4,
