source_dataset,snr_db,abs_linear_drift_hz,A_res_hz,decoded_success,seed,trial_index,cluster_id,snr_c,in_primary_support
linear_drift_boundary,-29.5,0.0,0.0,1,2026092606,6,linear_drift_boundary|-29.5|2026092606,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092603,3,linear_drift_boundary|-29.5|2026092603,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092605,5,linear_drift_boundary|-29.5|2026092605,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092600,0,linear_drift_boundary|-29.5|2026092600,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092602,2,linear_drift_boundary|-29.5|2026092602,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092607,7,linear_drift_boundary|-29.5|2026092607,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092601,1,linear_drift_boundary|-29.5|2026092601,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092604,4,linear_drift_boundary|-29.5|2026092604,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092610,10,linear_drift_boundary|-29.5|2026092610,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092611,11,linear_drift_boundary|-29.5|2026092611,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092612,12,linear_drift_boundary|-29.5|2026092612,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092613,13,linear_drift_boundary|-29.5|2026092613,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092609,9,linear_drift_boundary|-29.5|2026092609,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092614,14,linear_drift_boundary|-29.5|2026092614,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092615,15,linear_drift_boundary|-29.5|2026092615,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092616,16,linear_drift_boundary|-29.5|2026092616,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092617,17,linear_drift_boundary|-29.5|2026092617,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092618,18,linear_drift_boundary|-29.5|2026092618,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092619,19,linear_drift_boundary|-29.5|2026092619,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092620,20,linear_drift_boundary|-29.5|2026092620,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092621,21,linear_drift_boundary|-29.5|2026092621,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092622,22,linear_drift_boundary|-29.5|2026092622,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092625,25,linear_drift_boundary|-29.5|2026092625,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092623,23,linear_drift_boundary|-29.5|2026092623,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092626,26,linear_drift_boundary|-29.5|2026092626,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092627,27,linear_drift_boundary|-29.5|2026092627,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,0,2026092608,8,linear_drift_boundary|-29.5|2026092608,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092629,29,linear_drift_boundary|-29.5|2026092629,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092630,30,linear_drift_boundary|-29.5|2026092630,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092631,31,linear_drift_boundary|-29.5|2026092631,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092624,24,linear_drift_boundary|-29.5|2026092624,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092633,33,linear_drift_boundary|-29.5|2026092633,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092634,34,linear_drift_boundary|-29.5|2026092634,0.75,True
