snr_db,abs_linear_drift_hz,A_res_hz,n,observed_p_decode,M0_predicted_p,M1_predicted_p,M2_predicted_p
-31.0,0.0,0.0,300,0.79,0.727373701656096,0.7639327128640162,0.8197956525718952
-31.0,0.0,0.125,100,0.68,0.5397686382913893,0.5427588336142456,0.6166143780636715
-31.0,0.0,0.25,100,0.39,0.34017469022440366,0.3033375902477591,0.36249333950144325
-31.0,0.0,0.375,100,0.13,0.18475727541557535,0.13771929776032812,0.16737873527613764
-31.0,0.0,0.5,100,0.08,0.09059676720622772,0.055342983217441855,0.06635476959499288
-31.0,0.0,0.75,100,0.0,0.01888680529245724,0.007821012721600285,0.008804898773995005
-31.0,0.0,1.0,100,0.0,0.0037060396699122233,0.0010594906989974868,0.0011090681893247793
-31.0,0.25,0.0,400,0.6,0.4929104277291667,0.5106137814146045,0.5464867329292937
-31.0,0.5,0.0,500,0.224,0.26152472905968277,0.2517237776370385,0.24195470130437843
-31.0,0.5,0.125,100,0.18,0.13470469718928413,0.16591059419910542,0.15184537204606902
-31.0,0.5,0.25,100,0.15,0.06404910251513717,0.10523706280818232,0.09125490570118051
-31.0,0.5,0.375,100,0.04,0.029203165182269952,0.06502214254385677,0.053321722519338935
-31.0,0.5,0.5,100,0.03,0.01305082456025919,0.0394964569990367,0.030625348201124915
-31.0,0.75,0.0,400,0.0425,0.11427918464064638,0.09785034911575753,0.0779543921877335
-31.0,1.0,0.0,400,0.03,0.044896668883509114,0.033789145182381145,0.021903778906676778
-30.5,0.0,0.0,300,0.8833333333333333,0.8993279843993242,0.9173104681569995,0.9199619926618987
-30.5,0.0,0.125,100,0.81,0.797033023426616,0.8027298706489205,0.8093945595292077
-30.5,0.0,0.25,100,0.71,0.6331898089090121,0.5988163213857565,0.6107179789397468
-30.5,0.0,0.375,100,0.28,0.43143435634253086,0.3538009349137817,0.36692799021924033
-30.5,0.0,0.5,100,0.1,0.2501282287303275,0.16724469055136418,0.17636549880694838
-30.5,0.0,0.75,100,0.02,0.060552410784843816,0.026311141238803685,0.028396887404924156
-30.5,0.0,1.0,100,0.0,0.012301734586643617,0.0036226625574186672,0.003973338334280169
-30.5,0.25,0.0,400,0.83,0.7649624316768008,0.7815038429553153,0.7780285977975709
-30.5,0.5,0.0,500,0.484,0.5424929452192641,0.5355773521500223,0.5166435263902656
-30.5,0.5,0.125,100,0.48,0.3426416087200627,0.4054273039605844,0.38518502729076043
-30.5,0.5,0.25,100,0.36,0.18641554365895363,0.28733695684332916,0.26858888068013675
-30.5,0.5,0.375,100,0.17,0.09150476740903236,0.1925065376025956,0.1771189541206474
-30.5,0.5,0.5,100,0.13,0.04239821805420192,0.12354752705155811,0.11202849892021098
-30.5,0.75,0.0,400,0.21,0.3016789030119053,0.27104028276935005,0.2458226325355593
-30.5,1.0,0.0,400,0.125,0.13598866097324946,0.1070483009503879,0.09041047250051668
-30.0,0.0,0.0,300,0.98,0.967648906057618,0.9743778788040071,0.9667118133858871
-30.0,0.0,0.125,100,0.95,0.9293202550000814,0.9331075517128666,0.9181114376009291
-30.0,0.0,0.25,100,0.83,0.8525027943864381,0.8365153367707844,0.8123299210287144
-30.0,0.0,0.375,100,0.6,0.7175700751046152,0.6524026026276476,0.6256225304300169
-30.0,0.0,0.5,100,0.41,0.5276001723226688,0.40774585558103593,0.3921566633191255
-30.0,0.0,0.75,100,0.08,0.17750535411276464,0.0847796592991327,0.087725158530553
-30.0,0.0,1.0,100,0.0,0.04003297562747145,0.012310368522650711,0.01413020779006
-30.0,0.25,0.0,400,0.925,0.9159479202765152,0.9245921804621434,0.9106781942502945
-30.0,0.5,0.0,500,0.724,0.7988021150205648,0.7981127407919392,0.7816299028599999
-30.0,0.5,0.125,100,0.67,0.6357343107802677,0.7003759477134909,0.6867578318681505
-30.0,0.5,0.25,100,0.56,0.43412765051580715,0.5802103629218556,0.5731757942188902
-30.0,0.5,0.375,100,0.43,0.25219172442271953,0.4497168731868687,0.45131358653086806
-30.0,0.5,0.5,100,0.37,0.12910626580541357,0.3257948777641115,0.3350238226139364
-30.0,0.75,0.0,400,0.45,0.5912477100613223,0.5603639156379607,0.5568619796094166
-30.0,1.0,0.0,400,0.3925,0.34511705992132297,0.2912621046150635,0.3061208676344525
-29.5,0.0,0.0,300,0.9966666666666667,0.9901136335077357,0.9923875847636006,0.9865543788732968
-29.5,0.0,0.125,100,1.0,0.9777896445472224,0.9795162015897567,0.9673222705220978
-29.5,0.0,0.25,100,0.97,0.9508653886451761,0.9460641911772731,0.9227357030556367
-29.5,0.0,0.375,100,0.86,0.8948136258856827,0.8654841575950484,0.8281231770144953
-29.5,0.0,0.5,100,0.59,0.7890077224327348,0.7023886354568435,0.6603056946937508
-29.5,0.0,0.75,100,0.3,0.41948213100384707,0.24101569148387678,0.24034348404814665
-29.5,0.0,1.0,100,0.08,0.1225227951406162,0.04097572783261069,0.04897402221238078
-29.5,0.25,0.0,400,0.985,0.9733243042541553,0.976761495282679,0.9673802328170727
-29.5,0.5,0.0,500,0.934,0.9300375225362473,0.9312806961642547,0.9229969837303672
-29.5,0.5,0.125,100,0.9,0.8538770415827349,0.8890504969734284,0.8846894576856441
-29.5,0.5,0.25,100,0.85,0.7197882777069069,0.8257249813410222,0.8308178018531072
