condition,message_a,message_b,both_decode,a_only,b_only,neither,paired_difference
awgn,K1ABC FN42 33,W9XYZ EN52 20,35,21,15,29,0.06
awgn,K1ABC FN42 33,N0CAL DM79 37,35,21,21,23,0.0
awgn,K1ABC FN42 33,G4AAA IO91 10,32,24,19,25,0.05
awgn,K1ABC FN42 33,M0BEE JO02 30,36,20,15,29,0.05
awgn,K1ABC FN42 33,VK2ZZ QF56 23,39,17,16,28,0.01
awgn,K1ABC FN42 33,JA1QRS PM95 17,38,18,15,29,0.03
awgn,K1ABC FN42 33,F5ABC JN18 40,33,23,18,26,0.05
awgn,W9XYZ EN52 20,N0CAL DM79 37,33,17,23,27,-0.06
awgn,W9XYZ EN52 20,G4AAA IO91 10,30,20,21,29,-0.01
awgn,W9XYZ EN52 20,M0BEE JO02 30,30,20,21,29,-0.01
awgn,W9XYZ EN52 20,VK2ZZ QF56 23,35,15,20,30,-0.05
awgn,W9XYZ EN52 20,JA1QRS PM95 17,36,14,17,33,-0.03
awgn,W9XYZ EN52 20,F5ABC JN18 40,32,18,19,31,-0.01
awgn,N0CAL DM79 37,G4AAA IO91 10,32,24,19,25,0.05
awgn,N0CAL DM79 37,M0BEE JO02 30,32,24,19,25,0.05
awgn,N0CAL DM79 37,VK2ZZ QF56 23,38,18,17,27,0.01
awgn,N0CAL DM79 37,JA1QRS PM95 17,38,18,15,29,0.03
awgn,N0CAL DM79 37,F5ABC JN18 40,39,17,12,32,0.05
awgn,G4AAA IO91 10,M0BEE JO02 30,33,18,18,31,0.0
awgn,G4AAA IO91 10,VK2ZZ QF56 23,30,21,25,24,-0.04
awgn,G4AAA IO91 10,JA1QRS PM95 17,32,19,21,28,-0.02
awgn,G4AAA IO91 10,F5ABC JN18 40,30,21,21,28,0.0
awgn,M0BEE JO02 30,VK2ZZ QF56 23,35,16,20,29,-0.04
awgn,M0BEE JO02 30,JA1QRS PM95 17,33,18,20,29,-0.02
awgn,M0BEE JO02 30,F5ABC JN18 40,34,17,17,32,0.0
awgn,VK2ZZ QF56 23,JA1QRS PM95 17,37,18,16,29,0.02
awgn,VK2ZZ QF56 23,F5ABC JN18 40,38,17,13,32,0.04
awgn,JA1QRS PM95 17,F5ABC JN18 40,34,19,17,30,0.02
linear_drift,K1ABC FN42 33,W9XYZ EN52 20,33,28,14,25,0.14
linear_drift,K1ABC FN42 33,N0CAL DM79 37,42,19,13,26,0.06
linear_drift,K1ABC FN42 33,G4AAA IO91 10,36,25,13,26,0.12
linear_drift,K1ABC FN42 33,M0BEE JO02 30,36,25,11,28,0.14
linear_drift,K1ABC FN42 33,VK2ZZ QF56 23,37,24,14,25,0.1
linear_drift,K1ABC FN42 33,JA1QRS PM95 17,34,27,12,27,0.15
linear_drift,K1ABC FN42 33,F5ABC JN18 40,40,21,18,21,0.03
linear_drift,W9XYZ EN52 20,N0CAL DM79 37,31,16,24,29,-0.08
linear_drift,W9XYZ EN52 20,G4AAA IO91 10,26,21,23,30,-0.02
linear_drift,W9XYZ EN52 20,M0BEE JO02 30,29,18,18,35,0.0
linear_drift,W9XYZ EN52 20,VK2ZZ QF56 23,28,19,23,30,-0.04
linear_drift,W9XYZ EN52 20,JA1QRS PM95 17,25,22,21,32,0.01
linear_drift,W9XYZ EN52 20,F5ABC JN18 40,31,16,27,26,-0.11
linear_drift,N0CAL DM79 37,G4AAA IO91 10,32,23,17,28,0.06
linear_drift,N0CAL DM79 37,M0BEE JO02 30,37,18,10,35,0.08
linear_drift,N0CAL DM79 37,VK2ZZ QF56 23,34,21,17,28,0.04
linear_drift,N0CAL DM79 37,JA1QRS PM95 17,33,22,13,32,0.09
linear_drift,N0CAL DM79 37,F5ABC JN18 40,39,16,19,26,-0.03
linear_drift,G4AAA IO91 10,M0BEE JO02 30,32,17,15,36,0.02
linear_drift,G4AAA IO91 10,VK2ZZ QF56 23,32,17,19,32,-0.02
linear_drift,G4AAA IO91 10,JA1QRS PM95 17,26,23,20,31,0.03
linear_drift,G4AAA IO91 10,F5ABC JN18 40,38,11,20,31,-0.09
linear_drift,M0BEE JO02 30,VK2ZZ QF56 23,30,17,21,32,-0.04
linear_drift,M0BEE JO02 30,JA1QRS PM95 17,26,21,20,33,0.01
linear_drift,M0BEE JO02 30,F5ABC JN18 40,30,17,28,25,-0.11
linear_drift,VK2ZZ QF56 23,JA1QRS PM95 17,26,25,20,29,0.05
linear_drift,VK2ZZ QF56 23,F5ABC JN18 40,35,16,23,26,-0.07
linear_drift,JA1QRS PM95 17,F5ABC JN18 40,29,17,29,25,-0.12
quadratic_residual,K1ABC FN42 33,W9XYZ EN52 20,31,17,14,38,0.03
quadratic_residual,K1ABC FN42 33,N0CAL DM79 37,33,15,23,29,-0.08
quadratic_residual,K1ABC FN42 33,G4AAA IO91 10,32,16,15,37,0.01
quadratic_residual,K1ABC FN42 33,M0BEE JO02 30,37,11,16,36,-0.05
quadratic_residual,K1ABC FN42 33,VK2ZZ QF56 23,34,14,12,40,0.02
quadratic_residual,K1ABC FN42 33,JA1QRS PM95 17,30,18,24,28,-0.06
quadratic_residual,K1ABC FN42 33,F5ABC JN18 40,31,17,21,31,-0.04
quadratic_residual,W9XYZ EN52 20,N0CAL DM79 37,33,12,23,32,-0.11
quadratic_residual,W9XYZ EN52 20,G4AAA IO91 10,26,19,21,34,-0.02
quadratic_residual,W9XYZ EN52 20,M0BEE JO02 30,27,18,26,29,-0.08
quadratic_residual,W9XYZ EN52 20,VK2ZZ QF56 23,29,16,17,38,-0.01
quadratic_residual,W9XYZ EN52 20,JA1QRS PM95 17,27,18,27,28,-0.09
