trajectory_id,noise_type,f_carrier_hz,sigma_y_ref,trajectory_index,seed,tau_seconds,allan_deviation
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,1,1.0084504151210014e-10
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,2,6.493889197790817e-11
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,4,4.7435958251275627e-11
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,8,2.9006363558768145e-11
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,16,2.234611775860824e-11
white_FM_t0001_f7000000_s1e-10,white_FM,7000000.0,1e-10,1,2026101000,32,2.228482128206297e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,1,9.996375691138843e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,2,7.144017962060274e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,4,4.856019811441083e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,8,4.096149625279589e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,16,2.8126802485024735e-11
white_FM_t0002_f7000000_s1e-10,white_FM,7000000.0,1e-10,2,2026101001,32,2.321534469768142e-11
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,1,1.1798282821050167e-10
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,2,7.280178875519759e-11
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,4,5.270432609811272e-11
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,8,3.3654045327178984e-11
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,16,2.591345790834758e-11
white_FM_t0003_f7000000_s1e-10,white_FM,7000000.0,1e-10,3,2026101002,32,1.9820778884370755e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,1,9.204249374462554e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,2,7.514742193990121e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,4,5.1629484952237946e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,8,3.398241090716944e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,16,1.898821542062552e-11
white_FM_t0004_f7000000_s1e-10,white_FM,7000000.0,1e-10,4,2026101003,32,1.5214675039368378e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,1,9.901053767869131e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,2,6.460685464957658e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,4,4.5348170956398936e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,8,2.4765143820935996e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,16,2.8102213692102396e-11
white_FM_t0005_f7000000_s1e-10,white_FM,7000000.0,1e-10,5,2026101004,32,2.7907369063433968e-11
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,1,1.1146330310379414e-10
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,2,6.178278524512165e-11
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,4,4.438117216078184e-11
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,8,3.1688695152645324e-11
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,16,2.4288794993616324e-11
white_FM_t0006_f7000000_s1e-10,white_FM,7000000.0,1e-10,6,2026101005,32,2.0195750400202124e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,1,9.790664840628137e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,2,6.720442198873268e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,4,5.054495893466189e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,8,3.288498534030991e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,16,2.0856321057703075e-11
white_FM_t0007_f7000000_s1e-10,white_FM,7000000.0,1e-10,7,2026101006,32,1.099634269894327e-11
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,1,1.0078855466595704e-10
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,2,7.342144826383412e-11
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,4,4.7214746716647405e-11
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,8,3.639046493948268e-11
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,16,2.3917759760087943e-11
white_FM_t0008_f7000000_s1e-10,white_FM,7000000.0,1e-10,8,2026101007,32,1.842249677365037e-11
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,1,1.0176379603623669e-10
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,2,6.280266299972988e-11
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,4,4.72399134319101e-11
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,8,3.5713279131776494e-11
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,16,2.4831660113471413e-11
white_FM_t0009_f7000000_s1e-10,white_FM,7000000.0,1e-10,9,2026101008,32,2.7009347132368563e-11
white_FM_t0010_f7000000_s1e-10,white_FM,7000000.0,1e-10,10,2026101009,1,1.042773121056976e-10
white_FM_t0010_f7000000_s1e-10,white_FM,7000000.0,1e-10,10,2026101009,2,6.794915392163243e-11
white_FM_t0010_f7000000_s1e-10,white_FM,7000000.0,1e-10,10,2026101009,4,4.0554502873417404e-11
white_FM_t0010_f7000000_s1e-10,white_FM,7000000.0,1e-10,10,2026101009,8,3.175396402356984e-11
white_FM_t0010_f7000000_s1e-10,white_FM,7000000.0,1e-10,10,2026101009,16,1.6397000744289693e-11
