scope,value,n,brier_score,log_loss
overall,all,5400,0.14396027211492932,0.4414623866615031
noise_family,white_FM,1800,0.16753667252503818,0.5141609334351935
noise_family,flicker_FM,1800,0.15199442389981527,0.4646765307040961
noise_family,random_walk_FM,1800,0.11234971991993448,0.3455496958452199
carrier_frequency_hz,10000000.0,1800,0.15574832468538585,0.4788831974531723
carrier_frequency_hz,14000000.0,1800,0.1530618948660271,0.47071344071936366
carrier_frequency_hz,28000000.0,1800,0.12307059679337494,0.3747905218119734
target_sigma_y_1s,1e-09,1800,0.17156283565921035,0.5313603708358997
target_sigma_y_1s,3e-09,1800,0.16206147957887615,0.4920108953978532
target_sigma_y_1s,1e-08,1800,0.09825650110670144,0.3010158937507566
