noise_family,carrier_frequency_hz,target_sigma_y_1s,n_trajectories,median_residual_frequency_rms_hz
white_FM,10000000.0,1e-09,100,0.009716995072669151
white_FM,10000000.0,3e-09,100,0.0292139606532752
white_FM,10000000.0,1e-08,100,0.09746334351361655
white_FM,14000000.0,1e-09,100,0.0138954019215559
white_FM,14000000.0,3e-09,100,0.0413136887568424
white_FM,14000000.0,1e-08,100,0.13778491513392466
white_FM,28000000.0,1e-09,100,0.027188274190593602
white_FM,28000000.0,3e-09,100,0.08193881280504764
white_FM,28000000.0,1e-08,100,0.27592698329671883
flicker_FM,10000000.0,1e-09,100,0.0155078138560047
flicker_FM,10000000.0,3e-09,100,0.04662533624056065
flicker_FM,10000000.0,1e-08,100,0.1557019467140499
flicker_FM,14000000.0,1e-09,100,0.022130973756592398
flicker_FM,14000000.0,3e-09,100,0.06670304032282079
flicker_FM,14000000.0,1e-08,100,0.22053873874994906
flicker_FM,28000000.0,1e-09,100,0.0430481719969606
flicker_FM,28000000.0,3e-09,100,0.1243660413493579
flicker_FM,28000000.0,1e-08,100,0.42637485745387266
random_walk_FM,10000000.0,1e-09,100,0.03365592735512445
random_walk_FM,10000000.0,3e-09,100,0.11281761460575859
random_walk_FM,10000000.0,1e-08,100,0.3447821471505179
random_walk_FM,14000000.0,1e-09,100,0.0478647908100448
random_walk_FM,14000000.0,3e-09,100,0.142180296044135
random_walk_FM,14000000.0,1e-08,100,0.49026426515566157
random_walk_FM,28000000.0,1e-09,100,0.0974641885744128
random_walk_FM,28000000.0,3e-09,100,0.2777583916270603
random_walk_FM,28000000.0,1e-08,100,0.9748900551583335
