snr_db,tau_seconds,abs_A_res_hz,both_decode,thermal_only,negative_quadratic_only,neither,paired_difference,exact_mcnemar_p
-30.0,30,0.25,83,10,6,1,0.04,0.454498291015625
-30.0,30,0.5,28,40,8,24,0.32,3.3052667092192682e-06
-30.0,60,0.25,81,10,8,1,0.02,0.8145294189453125
-30.0,60,0.5,23,27,13,37,0.14,0.03847730828420026
-30.0,120,0.25,84,10,5,1,0.05,0.30175781249999994
-30.0,120,0.5,23,23,13,41,0.1,0.13249816396273675
-30.5,30,0.25,59,18,11,12,0.07,0.26493089646101
-30.5,30,0.5,14,28,5,53,0.23,6.618769839406013e-05
-30.5,60,0.25,58,21,12,9,0.09,0.16275565745308995
-30.5,60,0.5,7,15,12,66,0.03,0.7011080384254456
-30.5,120,0.25,57,18,13,12,0.05,0.47312965989112854
-30.5,120,0.5,6,9,13,72,-0.04,0.5234670639038086
-31.0,30,0.25,32,23,17,28,0.06,0.42959050784338615
-31.0,30,0.5,5,18,2,75,0.16,0.0004024505615234375
-31.0,60,0.25,32,12,17,39,-0.05,0.45825831964612007
-31.0,60,0.5,2,6,5,87,0.01,1.0
-31.0,120,0.25,33,15,16,36,-0.01,1.0
-31.0,120,0.5,1,5,6,88,-0.01,1.0
