trajectory_id,family,tau_seconds,signed_A_res_hz,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,final_phase_rad,phase_peak_to_peak_rad,correlation_with_negative_quadratic,cosine_similarity_with_negative_quadratic,RMS_shape_difference,max_shape_difference
quadratic_+0.25,quadratic,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_-0.25,quadratic,,-0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,-1.2417289418920063e-12,34.05880859221272,1.0,1.0,0.0,0.0
quadratic_+0.50,quadratic,,0.5,0.5,0.22778640425348684,0.7546583850931678,34.058808592213964,24.42250382283315,2.4834578837840127e-12,68.11761718442544,-1.0,-1.0,0.9111456170139474,2.0
quadratic_-0.50,quadratic,,-0.5,0.5,0.22778640425348684,0.7546583850931678,34.058808592213964,24.42250382283315,-2.4834578837840127e-12,68.11761718442544,1.0,1.0,0.0,0.0
thermal_tau30_A0.25,thermal,30,,0.24999999999999983,0.08215075237464613,0.34020843678128015,13.118264357090073,8.475951930527831,-9.086689733983633e-13,23.806064294795796,0.956853229788895,0.9568532297888954,0.1704103778314541,0.4980235217134631
thermal_tau30_A0.50,thermal,30,,0.49999999999999967,0.16430150474929225,0.6804168735625603,26.236528714180146,16.951903861055662,-1.8173379467967266e-12,47.61212858959159,0.956853229788895,0.9568532297888954,0.1704103778314541,0.4980235217134631
thermal_tau60_A0.25,thermal,60,,0.2500000000000001,0.09574631992893294,0.35654518145349334,14.943958339039682,10.160780942420148,-3.2792171755779975e-13,28.39155445298831,0.9882414948246998,0.9882414948246998,0.09680982765554987,0.3003684120758757
thermal_tau60_A0.50,thermal,60,,0.5000000000000002,0.19149263985786588,0.7130903629069867,29.887916678079364,20.321561884840296,-6.558434351155995e-13,56.78310890597662,0.9882414948246998,0.9882414948246998,0.09680982765554987,0.3003684120758757
thermal_tau120_A0.25,thermal,120,,0.2499999999999996,0.10420946540922124,0.36637336950106697,15.959377671278755,11.143850113380921,-1.4250102833845979e-12,31.095396415735003,0.9969914656036482,0.9969914656036484,0.051410479910138335,0.16499666409154878
thermal_tau120_A0.50,thermal,120,,0.4999999999999992,0.20841893081844248,0.7327467390021339,31.91875534255751,22.287700226761842,-2.8500205667691958e-12,62.190792831470006,0.9969914656036482,0.9969914656036484,0.051410479910138335,0.16499666409154878
