trajectory_family,snr_db,row_type,bin_index,n_rows,mean_predicted_probability,observed_decode_rate,calibration_intercept,calibration_slope,calibration_fit_status
quadratic_positive,,summary,,600,0.41722624063118163,0.43833333333333335,0.19608962554324672,1.2449387172701867,fitted
quadratic_positive,,bin,1.0,200,0.11297050757317972,0.08,,,
quadratic_positive,,bin,2.0,100,0.3780130029232806,0.35,,,
quadratic_positive,,bin,3.0,100,0.3857226084530017,0.49,,,
quadratic_positive,,bin,4.0,100,0.6583388524142564,0.72,,,
quadratic_positive,,bin,5.0,100,0.855341964850192,0.91,,,
quadratic_positive,-30.0,summary,,200,0.6166774838867362,0.63,0.022880577313394712,1.2890199020902424,fitted
quadratic_positive,-30.0,bin,1.0,100,0.3780130029232806,0.35,,,
quadratic_positive,-30.0,bin,2.0,100,0.855341964850192,0.91,,,
quadratic_positive,-30.5,summary,,200,0.4118257273754003,0.425,0.12414766574727842,1.2506686072339588,fitted
quadratic_positive,-30.5,bin,1.0,100,0.16531260233654435,0.13,,,
quadratic_positive,-30.5,bin,2.0,100,0.6583388524142564,0.72,,,
quadratic_positive,-31.0,summary,,200,0.22317551063140845,0.26,0.6627757591995457,1.5102914652343475,fitted
quadratic_positive,-31.0,bin,1.0,100,0.060628412809815124,0.03,,,
quadratic_positive,-31.0,bin,2.0,100,0.3857226084530017,0.49,,,
quadratic_negative,,summary,,600,0.4136430869194952,0.45,0.21807622455620412,1.005803683444333,fitted
quadratic_negative,,bin,1.0,200,0.1068730881306472,0.13,,,
quadratic_negative,,bin,2.0,100,0.37049723671606594,0.36,,,
quadratic_negative,,bin,3.0,100,0.3802768690770815,0.49,,,
quadratic_negative,,bin,4.0,100,0.6587373232233401,0.7,,,
quadratic_negative,,bin,5.0,100,0.8586009162391889,0.89,,,
quadratic_negative,-30.0,summary,,200,0.6145490764776275,0.625,0.030197205491646076,1.1423869747792295,fitted
quadratic_negative,-30.0,bin,1.0,100,0.37049723671606594,0.36,,,
quadratic_negative,-30.0,bin,2.0,100,0.8586009162391889,0.89,,,
quadratic_negative,-30.5,summary,,200,0.40817297247027384,0.445,0.1999096632750052,0.9843627834185341,fitted
quadratic_negative,-30.5,bin,1.0,100,0.15760862171720744,0.19,,,
quadratic_negative,-30.5,bin,2.0,100,0.6587373232233401,0.7,,,
quadratic_negative,-31.0,summary,,200,0.2182072118105843,0.28,0.4929156985652337,1.0912167290962762,fitted
quadratic_negative,-31.0,bin,1.0,100,0.056137554544087,0.07,,,
quadratic_negative,-31.0,bin,2.0,100,0.3802768690770815,0.49,,,
thermal_tau30,,summary,,600,0.5904543331222294,0.5966666666666667,0.05562368487760776,0.9201040393433728,fitted
thermal_tau30,,bin,1.0,200,0.29760307878328435,0.325,,,
thermal_tau30,,bin,2.0,100,0.5478944551504324,0.55,,,
thermal_tau30,,bin,3.0,100,0.6864743886095589,0.68,,,
thermal_tau30,,bin,4.0,100,0.7910836763764533,0.77,,,
thermal_tau30,,bin,5.0,100,0.9220673210303635,0.93,,,
thermal_tau30,-30.0,summary,,200,0.8042708548199612,0.805,-0.09765846300119836,1.086440536887217,fitted
thermal_tau30,-30.0,bin,1.0,100,0.6864743886095589,0.68,,,
thermal_tau30,-30.0,bin,2.0,100,0.9220673210303635,0.93,,,
thermal_tau30,-30.5,summary,,200,0.601552561995423,0.595,-4.114128297749894e-05,0.9075325731777395,fitted
thermal_tau30,-30.5,bin,1.0,100,0.4120214476143928,0.42,,,
thermal_tau30,-30.5,bin,2.0,100,0.7910836763764533,0.77,,,
thermal_tau30,-31.0,summary,,200,0.3655395825513041,0.39,0.040180953302672094,0.8351576210613432,fitted
thermal_tau30,-31.0,bin,1.0,100,0.18318470995217598,0.23,,,
thermal_tau30,-31.0,bin,2.0,100,0.5478944551504324,0.55,,,
thermal_tau60,,summary,,600,0.5173823481980493,0.49,-0.17553624546487845,1.2139103241641853,fitted
thermal_tau60,,bin,1.0,200,0.20950479846689152,0.15,,,
thermal_tau60,,bin,2.0,100,0.48577606044786853,0.44,,,
thermal_tau60,,bin,3.0,100,0.561448134004093,0.5,,,
thermal_tau60,,bin,4.0,100,0.7412694493265429,0.79,,,
thermal_tau60,,bin,5.0,100,0.8967908484760079,0.91,,,
thermal_tau60,-30.0,summary,,200,0.7291194912400505,0.705,-0.2984628210346639,1.2081494228274523,fitted
thermal_tau60,-30.0,bin,1.0,100,0.561448134004093,0.5,,,
thermal_tau60,-30.0,bin,2.0,100,0.8967908484760079,0.91,,,
thermal_tau60,-30.5,summary,,200,0.5190489196261892,0.505,-0.09897194220667035,1.3527726155695878,fitted
thermal_tau60,-30.5,bin,1.0,100,0.29682838992583527,0.22,,,
thermal_tau60,-30.5,bin,2.0,100,0.7412694493265429,0.79,,,
thermal_tau60,-31.0,summary,,200,0.3039786337279082,0.26,-0.17574674063076262,1.1494295519734372,fitted
thermal_tau60,-31.0,bin,1.0,100,0.12218120700794775,0.08,,,
thermal_tau60,-31.0,bin,2.0,100,0.48577606044786853,0.44,,,
thermal_tau120,,summary,,600,0.46784156710733005,0.47333333333333333,0.06363500695777083,1.308757979954981,fitted
thermal_tau120,,bin,1.0,200,0.15905738252384605,0.105,,,
thermal_tau120,,bin,2.0,100,0.43842337964420075,0.48,,,
thermal_tau120,,bin,3.0,100,0.47201968375038805,0.46,,,
thermal_tau120,,bin,4.0,100,0.7019135485481275,0.75,,,
thermal_tau120,,bin,5.0,100,0.8765780256535726,0.94,,,
thermal_tau120,-30.0,summary,,200,0.6742988547019803,0.7,-0.0029245522437501247,1.4050380593907874,fitted
thermal_tau120,-30.0,bin,1.0,100,0.47201968375038805,0.46,,,
thermal_tau120,-30.0,bin,2.0,100,0.8765780256535726,0.94,,,
