trajectory_family,snr_db,n_rows,n_trajectory_clusters,mean_residual_bias,bootstrap95_low,bootstrap95_high
quadratic_positive,-30.0,200,2,0.013322516113263934,-0.028013002923280624,0.054658035149808465
quadratic_positive,-30.5,200,2,0.013174272624599644,-0.035312602336544374,0.06166114758574362
quadratic_positive,-31.0,200,2,0.0368244893685916,-0.030628412809815125,0.10427739154699832
quadratic_negative,-30.0,200,2,0.010450923522372379,-0.010497236716065905,0.03139908376081067
quadratic_negative,-30.5,200,2,0.0368270275297261,0.03239137828279258,0.041262676776659665
quadratic_negative,-31.0,200,2,0.06179278818941565,0.01386244545591299,0.10972313092291833
thermal_tau30,-30.0,200,2,0.000729145180038917,-0.006474388609559005,0.007932678969636849
thermal_tau30,-30.5,200,2,-0.006552561995422852,-0.02108367637645305,0.007978552385607338
thermal_tau30,-31.0,200,2,0.02446041744869585,0.0021055448495676645,0.046815290047824004
thermal_tau60,-30.0,200,2,-0.024119491240050507,-0.061448134004093,0.013209151523992015
thermal_tau60,-30.5,200,2,-0.01404891962618926,-0.07682838992583527,0.04873055067345674
thermal_tau60,-31.0,200,2,-0.04397863372790813,-0.0457760604478685,-0.04218120700794774
thermal_tau120,-30.0,200,2,0.0257011452980198,-0.012019683750387856,0.06342197434642743
thermal_tau120,-30.5,200,2,-0.015274861346182412,-0.07863617414423767,0.04808645145187285
thermal_tau120,-31.0,200,2,0.006049014726172404,-0.029478590903454446,0.041576620355799225
random_walk,-30.0,800,800,-0.012769970125225407,-0.03659728191014211,0.010939596916216472
random_walk,-30.5,800,800,-0.01976749081457166,-0.046957689361848964,0.0066015175106925224
random_walk,-31.0,800,800,-0.052435348295985465,-0.08039707353710752,-0.024764993517543906
