trajectory_family,scope,n_rows,brier_score,log_loss,below_support_rows,above_support_rows
quadratic_positive,all,600,0.15395553003394696,0.46971490366565016,0,0
quadratic_positive,interpolation,600,0.15395553003394696,0.46971490366565016,0,0
quadratic_positive,extrapolation,0,,,0,0
quadratic_negative,all,600,0.17054653952917861,0.5137225359601983,0,0
quadratic_negative,interpolation,600,0.17054653952917861,0.5137225359601983,0,0
quadratic_negative,extrapolation,0,,,0,0
thermal_tau30,all,600,0.18846818808543256,0.5560652619811508,0,0
thermal_tau30,interpolation,600,0.18846818808543256,0.5560652619811508,0,0
thermal_tau30,extrapolation,0,,,0,0
thermal_tau60,all,600,0.16758372080981293,0.5074678475954746,0,0
thermal_tau60,interpolation,600,0.16758372080981293,0.5074678475954746,0,0
thermal_tau60,extrapolation,0,,,0,0
thermal_tau120,all,600,0.15684339616776635,0.47973597248822214,0,0
thermal_tau120,interpolation,600,0.15684339616776635,0.47973597248822214,0,0
thermal_tau120,extrapolation,0,,,0,0
random_walk,all,2400,0.14501223289376994,0.4554525347669429,1137,330
random_walk,interpolation,933,0.18196295689861303,0.5415806234443747,0,0
random_walk,extrapolation,1467,0.12151187468210085,0.4006757748923391,1137,330
