row_type,family_a,family_b,n_trials,min_frequency_rms_hz,p05_frequency_rms_hz,median_frequency_rms_hz,p95_frequency_rms_hz,max_frequency_rms_hz,overlap_min_hz,overlap_max_hz,overlap_width_hz
family_support,quadratic_positive,,600.0,0.1138932021267434,0.1138932021267434,0.1708398031901151,0.2277864042534868,0.2277864042534868,,,
family_support,quadratic_negative,,600.0,0.1138932021267434,0.1138932021267434,0.1708398031901151,0.2277864042534868,0.2277864042534868,,,
family_support,thermal_tau30,,600.0,0.0821507523746461,0.0821507523746461,0.12322612856196916,0.1643015047492922,0.1643015047492922,,,
family_support,thermal_tau60,,600.0,0.0957463199289329,0.0957463199289329,0.14361947989339935,0.1914926398578658,0.1914926398578658,,,
family_support,thermal_tau120,,600.0,0.1042094654092212,0.1042094654092212,0.1563141981138318,0.2084189308184424,0.2084189308184424,,,
family_support,random_walk,,2400.0,0.0160085367412613,0.0236286523067359,0.08897948645787135,0.30232943011853913,0.6816411742033401,,,
pairwise_overlap,quadratic_positive,quadratic_negative,,,,,,,0.1138932021267434,0.2277864042534868,0.1138932021267434
pairwise_overlap,quadratic_positive,thermal_tau30,,,,,,,0.1138932021267434,0.1643015047492922,0.05040830262254879
pairwise_overlap,quadratic_positive,thermal_tau60,,,,,,,0.1138932021267434,0.1914926398578658,0.07759943773112239
pairwise_overlap,quadratic_positive,thermal_tau120,,,,,,,0.1138932021267434,0.2084189308184424,0.09452572869169899
pairwise_overlap,quadratic_positive,random_walk,,,,,,,0.1138932021267434,0.2277864042534868,0.1138932021267434
pairwise_overlap,quadratic_negative,thermal_tau30,,,,,,,0.1138932021267434,0.1643015047492922,0.05040830262254879
pairwise_overlap,quadratic_negative,thermal_tau60,,,,,,,0.1138932021267434,0.1914926398578658,0.07759943773112239
pairwise_overlap,quadratic_negative,thermal_tau120,,,,,,,0.1138932021267434,0.2084189308184424,0.09452572869169899
pairwise_overlap,quadratic_negative,random_walk,,,,,,,0.1138932021267434,0.2277864042534868,0.1138932021267434
pairwise_overlap,thermal_tau30,thermal_tau60,,,,,,,0.0957463199289329,0.1643015047492922,0.0685551848203593
pairwise_overlap,thermal_tau30,thermal_tau120,,,,,,,0.1042094654092212,0.1643015047492922,0.060092039340071
pairwise_overlap,thermal_tau30,random_walk,,,,,,,0.0821507523746461,0.1643015047492922,0.0821507523746461
pairwise_overlap,thermal_tau60,thermal_tau120,,,,,,,0.1042094654092212,0.1914926398578658,0.0872831744486446
pairwise_overlap,thermal_tau60,random_walk,,,,,,,0.0957463199289329,0.1914926398578658,0.0957463199289329
pairwise_overlap,thermal_tau120,random_walk,,,,,,,0.1042094654092212,0.2084189308184424,0.1042094654092212
