held_out_family,model,training_rows,test_rows,brier_score,log_loss
quadratic_positive,M_RMS,4800,600,0.15395553003394696,0.46971490366565016
quadratic_positive,M_RMS_D1,4800,600,0.15380694870495457,0.4695381120373342
quadratic_positive,M_RMS_TV,4800,600,0.1538124314425579,0.46954323506462203
quadratic_positive,M_RMS_D2,4800,600,0.15381984008190525,0.4695534480652399
quadratic_positive,M_RMS_PHASE,4800,600,0.1539290711983603,0.4696729121265641
quadratic_positive,M_RMS_D1_PHASE,4800,600,0.15376885678919977,0.46953457281080535
quadratic_negative,M_RMS,4800,600,0.17054653952917861,0.5137225359601983
quadratic_negative,M_RMS_D1,4800,600,0.1703356446229292,0.5131337607885736
quadratic_negative,M_RMS_TV,4800,600,0.17034542846620054,0.5131611146390321
quadratic_negative,M_RMS_D2,4800,600,0.1703628744062198,0.5132094992502941
quadratic_negative,M_RMS_PHASE,4800,600,0.17051455529573825,0.5136348805380444
quadratic_negative,M_RMS_D1_PHASE,4800,600,0.17025483404119796,0.5129040678693547
thermal_tau30,M_RMS,4800,600,0.18846818808543253,0.5560652619811508
thermal_tau30,M_RMS_D1,4800,600,0.18843825449385285,0.5559415781185723
thermal_tau30,M_RMS_TV,4800,600,0.18843726653445994,0.5559374635621649
thermal_tau30,M_RMS_D2,4800,600,0.18843732845790262,0.5559397131389067
thermal_tau30,M_RMS_PHASE,4800,600,0.18844852995197944,0.5559948304974087
thermal_tau30,M_RMS_D1_PHASE,4800,600,0.18846202910605384,0.5560355904203896
thermal_tau60,M_RMS,4800,600,0.16758372080981293,0.5074678475954746
thermal_tau60,M_RMS_D1,4800,600,0.16822939658063635,0.5089704691179681
thermal_tau60,M_RMS_TV,4800,600,0.16822093747040687,0.5089515265693307
thermal_tau60,M_RMS_D2,4800,600,0.168207784682367,0.508922195250305
thermal_tau60,M_RMS_PHASE,4800,600,0.16792524681330873,0.5082705152447691
thermal_tau60,M_RMS_D1_PHASE,4800,600,0.16815201541873487,0.5087839461447649
thermal_tau120,M_RMS,4800,600,0.15684339616776635,0.47973597248822214
thermal_tau120,M_RMS_D1,4800,600,0.15691089329333485,0.47997939152711694
thermal_tau120,M_RMS_TV,4800,600,0.15690729366775671,0.47996822818953633
thermal_tau120,M_RMS_D2,4800,600,0.15690525501349645,0.4799620605650382
thermal_tau120,M_RMS_PHASE,4800,600,0.15685736281551085,0.47979510345439685
thermal_tau120,M_RMS_D1_PHASE,4800,600,0.15690957435870595,0.4799767414720675
random_walk,M_RMS,3000,2400,0.14501223277959474,0.4554525339318419
random_walk,M_RMS_D1,3000,2400,0.2616716064032063,1.0932048822690523
random_walk,M_RMS_TV,3000,2400,0.5937313721820766,9.178893330260804
random_walk,M_RMS_D2,3000,2400,0.6104150706618213,24.539383776505428
random_walk,M_RMS_PHASE,3000,2400,0.1606698895018051,0.49969483226164885
random_walk,M_RMS_D1_PHASE,3000,2400,0.3891568835731759,7.7433584657866765
