source_dataset,trajectory_family,trajectory_id,trajectory_identity,snr_db,seed,trajectory_seed,noise_seed,trial_index,decoded_success,max_abs_frequency_hz,frequency_rms_hz,max_abs_phase_rad,phase_rms_rad,first_difference_rms_hz,total_variation_hz,second_difference_rms_hz,normalized_first_difference_rms,normalized_second_difference_rms,snr_c
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100201,,2026100201,1,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100202,,2026100202,2,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100200,,2026100200,0,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100203,,2026100203,3,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100205,,2026100205,5,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100204,,2026100204,4,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100207,,2026100207,7,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100206,,2026100206,6,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100208,,2026100208,8,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100210,,2026100210,10,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100211,,2026100211,11,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100212,,2026100212,12,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100215,,2026100215,15,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100216,,2026100216,16,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100209,,2026100209,9,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100214,,2026100214,14,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100217,,2026100217,17,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
