snr_db,tau_seconds,abs_A_res_hz,thermal_p_decode,positive_quadratic_p_decode,negative_quadratic_p_decode,thermal_minus_positive,thermal_minus_negative,thermal_shape_correlation_with_positive_quadratic
-30.0,30,0.25,0.93,0.91,0.89,0.020000000000000018,0.040000000000000036,-0.9568532297888948
-30.0,30,0.5,0.68,0.35,0.36,0.33000000000000007,0.32000000000000006,-0.9568532297888948
-30.0,60,0.25,0.91,0.91,0.89,0.0,0.020000000000000018,-0.9882414948246999
-30.0,60,0.5,0.5,0.35,0.36,0.15000000000000002,0.14,-0.9882414948246999
-30.0,120,0.25,0.94,0.91,0.89,0.029999999999999916,0.04999999999999993,-0.9969914656036485
-30.0,120,0.5,0.46,0.35,0.36,0.11000000000000004,0.10000000000000003,-0.9969914656036485
-30.5,30,0.25,0.77,0.72,0.7,0.050000000000000044,0.07000000000000006,-0.9568532297888948
-30.5,30,0.5,0.42,0.13,0.19,0.29,0.22999999999999998,-0.9568532297888948
-30.5,60,0.25,0.79,0.72,0.7,0.07000000000000006,0.09000000000000008,-0.9882414948246999
-30.5,60,0.5,0.22,0.13,0.19,0.09,0.03,-0.9882414948246999
-30.5,120,0.25,0.75,0.72,0.7,0.030000000000000027,0.050000000000000044,-0.9969914656036485
-30.5,120,0.5,0.15,0.13,0.19,0.01999999999999999,-0.04000000000000001,-0.9969914656036485
-31.0,30,0.25,0.55,0.49,0.49,0.06000000000000005,0.06000000000000005,-0.9568532297888948
-31.0,30,0.5,0.23,0.03,0.07,0.2,0.16,-0.9568532297888948
-31.0,60,0.25,0.44,0.49,0.49,-0.04999999999999999,-0.04999999999999999,-0.9882414948246999
-31.0,60,0.5,0.08,0.03,0.07,0.05,0.009999999999999995,-0.9882414948246999
-31.0,120,0.25,0.48,0.49,0.49,-0.010000000000000009,-0.010000000000000009,-0.9969914656036485
-31.0,120,0.5,0.06,0.03,0.07,0.03,-0.010000000000000009,-0.9969914656036485
