snr_db,tau_seconds,target_A_res_hz,thermal_p_decode,quadratic_p_decode,difference,thermal_Wilson95_low,thermal_Wilson95_high,quadratic_Wilson95_low,quadratic_Wilson95_high,shape_correlation,residual_rms_hz
-30.0,30,0.25,0.93,0.83,0.10000000000000009,0.8625048526092651,0.9656807389327273,0.7445199523239887,0.8910643388594006,-0.9568532297888948,0.08215075237464613
-30.0,30,0.5,0.68,0.41,0.2700000000000001,0.5833738138954762,0.7633085267500092,0.3186731302113651,0.5079856994658921,-0.9568532297888948,0.16430150474929225
-30.0,60,0.25,0.91,0.83,0.08000000000000007,0.837737871472837,0.9519274599974348,0.7445199523239887,0.8910643388594006,-0.9882414948246999,0.09574631992893294
-30.0,60,0.5,0.5,0.41,0.09000000000000002,0.4038315303659956,0.5961684696340044,0.3186731302113651,0.5079856994658921,-0.9882414948246999,0.19149263985786588
-30.0,120,0.25,0.94,0.83,0.10999999999999999,0.8752318455410406,0.9722138760368118,0.7445199523239887,0.8910643388594006,-0.9969914656036485,0.10420946540922124
-30.0,120,0.5,0.46,0.41,0.050000000000000044,0.36560808309024106,0.5573513967663177,0.3186731302113651,0.5079856994658921,-0.9969914656036485,0.20841893081844248
-30.5,30,0.25,0.77,0.71,0.06000000000000005,0.6784561697712622,0.8415673411969654,0.6146110882442888,0.7898516425087772,-0.9568532297888948,0.08215075237464613
-30.5,30,0.5,0.42,0.1,0.31999999999999995,0.3279838267435473,0.5179351329695703,0.0552291370606751,0.17436566150491345,-0.9568532297888948,0.16430150474929225
-30.5,60,0.25,0.79,0.71,0.08000000000000007,0.7002003116591013,0.858343459380847,0.6146110882442888,0.7898516425087772,-0.9882414948246999,0.09574631992893294
-30.5,60,0.5,0.22,0.1,0.12,0.150012823846054,0.31070353514985793,0.0552291370606751,0.17436566150491345,-0.9882414948246999,0.19149263985786588
-30.5,120,0.25,0.75,0.71,0.040000000000000036,0.656955364519384,0.8245478863771232,0.6146110882442888,0.7898516425087772,-0.9969914656036485,0.10420946540922124
-30.5,120,0.5,0.15,0.1,0.04999999999999999,0.0930598528365663,0.23283559590832364,0.0552291370606751,0.17436566150491345,-0.9969914656036485,0.20841893081844248
-31.0,30,0.25,0.55,0.39,0.16000000000000003,0.45244602997442135,0.6438546202048803,0.3001687400639441,0.4879698295415926,-0.9568532297888948,0.08215075237464613
-31.0,30,0.5,0.23,0.08,0.15000000000000002,0.15843265880303448,0.3215438302287378,0.041093461484380624,0.14998107700948735,-0.9568532297888948,0.16430150474929225
-31.0,60,0.25,0.44,0.39,0.04999999999999999,0.34672026630160796,0.5377189534832302,0.3001687400639441,0.4879698295415926,-0.9882414948246999,0.09574631992893294
-31.0,60,0.5,0.08,0.08,0.0,0.041093461484380624,0.14998107700948735,0.041093461484380624,0.14998107700948735,-0.9882414948246999,0.19149263985786588
-31.0,120,0.25,0.48,0.39,0.08999999999999997,0.384645517580519,0.5768342223477603,0.3001687400639441,0.4879698295415926,-0.9969914656036485,0.10420946540922124
-31.0,120,0.5,0.06,0.08,-0.020000000000000004,0.027786123963188192,0.1247681544589592,0.041093461484380624,0.14998107700948735,-0.9969914656036485,0.20841893081844248
