snr_db_2500hz,n,successes,p_decode,ci_low,ci_high,reported_snr_count,mean_reported_minus_injected_db,median_reported_minus_injected_db,mean_runtime_seconds
-24.0,50,50,1.0,0.9286524008666414,1.0,50,-0.02,0.0,0.0663198895799951
-25.0,50,50,1.0,0.9286524008666414,1.0,50,-0.02,0.0,0.06139225467997221
-26.0,100,100,1.0,0.9630065017930143,1.0,100,-0.04,0.0,0.0616736734999904
-27.0,200,200,1.0,0.9811546736227335,1.0,200,0.06,0.0,0.05795423469000298
-28.0,200,200,1.0,0.9811546736227335,1.0,200,0.115,0.0,0.05874719506500014
-29.0,200,200,1.0,0.9811546736227335,1.0,200,0.085,0.0,0.07481638301499288
-30.0,200,196,0.98,0.9497129130941735,0.9921955735836505,196,0.15306122448979592,0.0,0.17423530187501002
-31.0,200,140,0.7,0.6332093162728074,0.7592525531762859,140,0.21428571428571427,0.0,0.3146800367400067
-32.0,200,63,0.315,0.2546232099022851,0.3823495608573036,63,0.3968253968253968,1.0,0.3344307689000095
-33.0,100,2,0.02,0.00550196755016235,0.07001179072854388,2,1.0,1.0,0.23498865797999996
-34.0,50,0,0.0,6.938893903907228e-18,0.07134759913335872,0,,,0.10708555677998902
