snr_db,linear_drift_hz,A_res_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-30.0,0.0,0.0,200,193,0.965,0.9295293884777092,0.9829444579914328,0.18723052528000153
-30.0,0.0,0.25,200,172,0.86,0.8051011913429243,0.9013301736654437,0.2199719055700234
-30.0,0.0,0.5,200,68,0.34,0.27791545970908793,0.4081150447316374,0.3761635048049902
-30.0,0.5,0.0,200,145,0.725,0.6593166064233035,0.7822029967069265,0.24679406964001827
-30.0,0.5,0.25,200,119,0.595,0.525797100813387,0.6606222871749323,0.29085357743998885
-30.0,0.5,0.5,200,69,0.345,0.2825979437674894,0.4132441074094632,0.3737332002650237
-30.5,0.0,0.0,200,179,0.895,0.8448196800887696,0.9302925120731899,0.24434547509000368
-30.5,0.0,0.25,200,134,0.67,0.602166847737769,0.7314257412939605,0.31655737190499167
-30.5,0.0,0.5,200,30,0.15,0.10713593562241995,0.20605579284166659,0.4369207394949763
-30.5,0.5,0.0,200,95,0.475,0.4069162264657108,0.5440260398531525,0.3465783354300493
-30.5,0.5,0.25,200,60,0.3,0.24074744682371402,0.36679068372719265,0.4149999378499979
-30.5,0.5,0.5,200,22,0.11,0.07377244460125303,0.1609269099730149,0.4382029940349912
-31.0,0.0,0.0,200,148,0.74,0.6750925439746589,0.7958616993642531,0.32138309973503965
-31.0,0.0,0.25,200,64,0.32,0.25926533315468053,0.38751898434113546,0.39731432888000656
-31.0,0.0,0.5,200,7,0.035,0.017055542008567192,0.07047061152229073,0.45371389271498175
-31.0,0.5,0.0,200,28,0.14,0.09866982633455634,0.1948988086570756,0.4375927222900009
-31.0,0.5,0.25,200,22,0.11,0.07377244460125303,0.1609269099730149,0.4331624527250324
-31.0,0.5,0.5,200,9,0.045,0.023852543001492997,0.0832967040018196,0.40908465660001636
