snr_db,linear_drift_hz,A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.0,0.0,3,2026093003,1,K1ABC FN42 33,-31,0,10.140200,0.0910381720004807
-30.0,0.0,0.0,4,2026093004,1,K1ABC FN42 33,-29,0,10.140200,0.0454072049997194
-30.0,0.0,0.0,5,2026093005,1,K1ABC FN42 33,-30,0,10.140200,0.1229083600001104
-30.0,0.0,0.0,0,2026093000,1,K1ABC FN42 33,-30,0,10.140200,0.28123006199984957
-30.0,0.0,0.0,2,2026093002,1,K1ABC FN42 33,-30,0,10.140200,0.287070455000503
-30.0,0.0,0.0,1,2026093001,1,K1ABC FN42 33,-30,0,10.140200,0.37285812399932183
-30.0,0.0,0.0,8,2026093008,1,K1ABC FN42 33,-30,0,10.140200,0.09688465999988694
-30.0,0.0,0.0,7,2026093007,1,K1ABC FN42 33,-29,0,10.140200,0.10490353899967886
-30.0,0.0,0.0,6,2026093006,1,K1ABC FN42 33,-30,0,10.140200,0.288156586999321
-30.0,0.0,0.0,11,2026093011,1,K1ABC FN42 33,-29,0,10.140200,0.23316944500038517
-30.0,0.0,0.0,9,2026093009,1,K1ABC FN42 33,-30,0,10.140200,0.2487911689995599
-30.0,0.0,0.0,10,2026093010,1,K1ABC FN42 33,-29,0,10.140200,0.2418537510002352
-30.0,0.0,0.0,13,2026093013,1,K1ABC FN42 33,-30,0,10.140200,0.05409722599961242
-30.0,0.0,0.0,16,2026093016,1,K1ABC FN42 33,-29,0,10.140200,0.08187870200072211
-30.0,0.0,0.0,17,2026093017,1,K1ABC FN42 33,-29,0,10.140200,0.05109812999944552
-30.0,0.0,0.0,14,2026093014,1,K1ABC FN42 33,-29,0,10.140200,0.2876903789992866
-30.0,0.0,0.0,15,2026093015,1,K1ABC FN42 33,-30,0,10.140200,0.348831823999717
-30.0,0.0,0.0,20,2026093020,1,K1ABC FN42 33,-29,0,10.140200,0.09457655700043688
-30.0,0.0,0.0,18,2026093018,1,K1ABC FN42 33,-30,0,10.140200,0.2772492540007079
-30.0,0.0,0.0,12,2026093012,0,,,,,0.5477741269996841
-30.0,0.0,0.0,23,2026093023,1,K1ABC FN42 33,-29,0,10.140200,0.05690392700034863
-30.0,0.0,0.0,19,2026093019,1,K1ABC FN42 33,-31,0,10.140200,0.2639950319999116
-30.0,0.0,0.0,21,2026093021,1,K1ABC FN42 33,-30,0,10.140200,0.12309227300011116
-30.0,0.0,0.0,24,2026093024,1,K1ABC FN42 33,-30,0,10.140200,0.07345236299988755
-30.0,0.0,0.0,25,2026093025,1,K1ABC FN42 33,-28,0,10.140200,0.05539749899980961
-30.0,0.0,0.0,28,2026093028,1,K1ABC FN42 33,-29,0,10.140200,0.06037424900023325
-30.0,0.0,0.0,29,2026093029,1,K1ABC FN42 33,-30,0,10.140200,0.08984089299974585
-30.0,0.0,0.0,30,2026093030,1,K1ABC FN42 33,-30,0,10.140200,0.0808070820003195
