snr_db,drift_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-29.5,0.0,200,199,0.995,0.9722262956021069,0.9991168312843989,0.09768990243500468
-29.5,0.25,200,199,0.995,0.9722262956021069,0.9991168312843989,0.10069062658499832
-29.5,-0.25,200,195,0.975,0.942821659593358,0.9892752803482386,0.1119215084700005
-29.5,0.5,200,187,0.935,0.8919809207009312,0.961623645350847,0.1082230704700055
-29.5,-0.5,200,185,0.925,0.8799563897637055,0.954025082815618,0.12033442808500183
-29.5,0.75,200,158,0.79,0.7283538314009754,0.8407158793002101,0.16010650711000152
-29.5,-0.75,200,147,0.735,0.6698242380737758,0.7913184585289088,0.18421182277000184
-29.5,1.0,200,144,0.72,0.6540769541334929,0.7776311022605097,0.17727166071499822
-29.5,-1.0,200,146,0.73,0.6645656480133157,0.7867655018531416,0.17647640745000218
-30.0,0.0,200,196,0.98,0.9497129130941735,0.9921955735836505,0.1664858936700017
-30.0,0.25,200,185,0.925,0.8799563897637055,0.954025082815618,0.18634834266499695
-30.0,-0.25,200,185,0.925,0.8799563897637055,0.954025082815618,0.18380984626499866
-30.0,0.5,200,142,0.71,0.6436252189922268,0.7684597439293211,0.2413265844900036
-30.0,-0.5,200,148,0.74,0.6750925439746589,0.7958616993642531,0.23800491341000168
-30.0,0.75,200,89,0.445,0.3778060100295335,0.5142669758719658,0.3143018614549999
-30.0,-0.75,200,91,0.455,0.387482193098835,0.524213886275119,0.3148219772749974
-30.0,1.0,200,77,0.385,0.32033309726923215,0.45400132779753916,0.3138533902549966
-30.0,-1.0,200,80,0.4,0.33460578566807336,0.46916327960737997,0.32998363867499736
-30.5,0.0,200,178,0.89,0.839073090026985,0.926227555398747,0.2394552414850034
-30.5,0.25,200,169,0.845,0.7883930940765792,0.8886036307231068,0.27032266925500037
-30.5,-0.25,200,163,0.815,0.7554293723884824,0.8626980719938395,0.2749401564149935
-30.5,0.5,200,95,0.475,0.4069162264657108,0.5440260398531525,0.3519674105299998
-30.5,-0.5,200,97,0.485,0.41667385171877513,0.5538915080725428,0.3502333649350038
-30.5,0.75,200,35,0.175,0.12860515066273331,0.23364431148248993,0.41877639399000316
-30.5,-0.75,200,49,0.245,0.1905686808903718,0.30904243556203415,0.3905368360849957
-30.5,1.0,200,26,0.13,0.0902820227966932,0.18366351872248407,0.4244605104350035
-30.5,-1.0,200,24,0.12,0.08197992706375512,0.17234252098296743,0.4220910959299988
-31.0,0.0,200,155,0.775,0.7122587676433947,0.8273763028491088,0.3001727971449958
-31.0,0.25,200,113,0.565,0.49570736259794607,0.6318427449730093,0.3463438595700012
-31.0,-0.25,200,127,0.635,0.566317026527406,0.698594735350732,0.3230365568249954
-31.0,0.5,200,46,0.23,0.17709343259068805,0.2930830436530359,0.4293911908800112
-31.0,-0.5,200,44,0.22,0.16816538358833258,0.28238799918293667,0.40200103727999703
-31.0,0.75,200,7,0.035,0.017055542008567192,0.07047061152229073,0.44879771167498916
-31.0,-0.75,200,10,0.05,0.02738264560076393,0.08957814813877599,0.4481517655350001
-31.0,1.0,200,5,0.025,0.010724719651761264,0.05717834040664198,0.3944417832049942
-31.0,-1.0,200,7,0.035,0.017055542008567192,0.07047061152229073,0.40222794722999994
-31.5,0.0,200,100,0.5,0.43136085960389187,0.5686391403961082,0.3441226069200002
-31.5,0.25,200,79,0.395,0.32984101013207967,0.46411650840714636,0.3563144152549978
-31.5,-0.25,200,72,0.36,0.2966919730456654,0.42858471833996925,0.36639386298500315
-31.5,0.5,200,13,0.065,0.03837635464915299,0.10801907929906895,0.3960832657099968
-31.5,-0.5,200,15,0.075,0.04597491718438201,0.12004361023629456,0.41513037370999084
-31.5,0.75,200,6,0.03,0.013820314340111346,0.06389429245451925,0.39268069798999705
-31.5,-0.75,200,3,0.015,0.00511423779325831,0.04316572879269026,0.38716535407499353
-31.5,1.0,200,0,0.0,1.734723475976807e-18,0.018845326377266575,0.35041234550500233
-31.5,-1.0,200,0,0.0,1.734723475976807e-18,0.018845326377266575,0.34065974034000535
