snr_db,drift_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-28.0,0.0,100,100,1.0,0.9630065017930143,1.0,0.07117959899982453
-28.0,0.5,100,100,1.0,0.9630065017930143,1.0,0.07109421580995332
-28.0,-0.5,100,100,1.0,0.9630065017930143,1.0,0.07233282161007082
-28.0,1.0,100,100,1.0,0.9630065017930143,1.0,0.06953121314996678
-28.0,-1.0,100,100,1.0,0.9630065017930143,1.0,0.07040087700996082
-28.0,1.5,100,97,0.97,0.9154806357094724,0.9897454759759611,0.08765612070998031
-28.0,-1.5,100,98,0.98,0.929988209271456,0.9944980324498376,0.07380946100005531
-28.0,2.0,100,91,0.91,0.837737871472837,0.9519274599974348,0.08473610493001615
-28.0,-2.0,100,91,0.91,0.837737871472837,0.9519274599974348,0.08364299784996547
-29.0,0.0,100,100,1.0,0.9630065017930143,1.0,0.06653502879997177
-29.0,0.5,100,100,1.0,0.9630065017930143,1.0,0.0694299362599304
-29.0,-0.5,100,99,0.99,0.9455138038212946,0.9982325679358593,0.07611021317015912
-29.0,1.0,100,94,0.94,0.8752318455410406,0.9722138760368118,0.09384929193001881
-29.0,-1.0,100,89,0.89,0.8136870349691969,0.9374580364293543,0.11266472843983139
-29.0,1.5,100,84,0.84,0.7557973061072976,0.8990471151119521,0.14323058383013632
-29.0,-1.5,100,83,0.83,0.7445199523239887,0.8910643388594006,0.1315232563399877
-29.0,2.0,100,82,0.82,0.7333264161369926,0.8829977450105364,0.08861033708981267
-29.0,-2.0,100,80,0.8,0.7111708344068411,0.8666330666689676,0.07584908426986658
-30.0,0.0,100,98,0.98,0.929988209271456,0.9944980324498376,0.18208535885005403
-30.0,0.5,100,72,0.72,0.6251197129007884,0.7986031478881379,0.25190466869991723
-30.0,-0.5,100,76,0.76,0.6676766365018553,0.8330867444305122,0.2308276105198638
-30.0,1.0,100,37,0.37,0.28182360534324524,0.4677947041905709,0.3323192987399671
-30.0,-1.0,100,31,0.31,0.22779697212376038,0.40626055719489407,0.35167687360992206
-30.0,1.5,100,32,0.32,0.23669147324999093,0.41662618610452384,0.28304148204993906
-30.0,-1.5,100,26,0.26,0.18404698464748132,0.3537098944918718,0.28538432899000327
-30.0,2.0,100,25,0.25,0.17545211362287672,0.34304463548061603,0.12940519364001374
-30.0,-2.0,100,33,0.33,0.24563122734128034,0.4269465620490947,0.12944696983011453
-31.0,0.0,100,79,0.79,0.7002003116591013,0.858343459380847,0.30758810096003797
-31.0,0.5,100,20,0.2,0.1333669333310325,0.2888291655931589,0.46578269173984155
-31.0,-0.5,100,28,0.28,0.20139685211186212,0.3748802870992116,0.4166770415398787
-31.0,1.0,100,2,0.02,0.00550196755016235,0.07001179072854388,0.3937830254500295
-31.0,-1.0,100,6,0.06,0.027786123963188192,0.1247681544589592,0.4127767752599539
-31.0,1.5,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.23861996651990922
-31.0,-1.5,100,5,0.05,0.02154367915436796,0.11175046923191913,0.2127159076001226
-31.0,2.0,100,2,0.02,0.00550196755016235,0.07001179072854388,0.11337169193015142
-31.0,-2.0,100,3,0.03,0.010254524024038925,0.0845193642905276,0.12373657877005825
-32.0,0.0,100,31,0.31,0.22779697212376038,0.40626055719489407,0.3383113101400522
-32.0,0.5,100,6,0.06,0.027786123963188192,0.1247681544589592,0.35776677482004743
-32.0,-0.5,100,5,0.05,0.02154367915436796,0.11175046923191913,0.35497637685999506
-32.0,1.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.3052805862299283
-32.0,-1.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.3011929284799226
-32.0,1.5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.13771326544008844
-32.0,-1.5,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.14857500444000835
-32.0,2.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.09538337376008713
-32.0,-2.0,100,1,0.01,0.0017674320641406505,0.054486196178705315,0.09752987183992445
