snr_db,linear_drift_hz,A_res_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-29.5,0.5,0.0,100,95,0.95,0.8882495307680808,0.9784563208456319,0.1560897552799861
-29.5,0.5,0.125,100,90,0.9,0.8256343384950865,0.9447708629393249,0.1427508874699879
-29.5,0.5,0.25,100,85,0.85,0.7671644040916763,0.9069401471634337,0.1850913897500186
-29.5,0.5,0.375,100,69,0.69,0.5937394428051057,0.7722030278762395,0.2254506311500245
-29.5,0.5,0.5,100,59,0.59,0.4920143005341078,0.6813268697886348,0.2550799985200274
-30.0,0.5,0.0,100,72,0.72,0.6251197129007884,0.7986031478881379,0.2643152398699749
-30.0,0.5,0.125,100,67,0.67,0.5730534379509052,0.7543687726587197,0.27336071415998503
-30.0,0.5,0.25,100,56,0.56,0.4622810465167699,0.6532797336983921,0.30676415783002087
-30.0,0.5,0.375,100,43,0.43,0.33733298524110106,0.5278461045078768,0.346477010099984
-30.0,0.5,0.5,100,37,0.37,0.28182360534324524,0.4677947041905709,0.35639943742002744
-30.5,0.5,0.0,100,50,0.5,0.4038315303659956,0.5961684696340044,0.36022524955001245
-30.5,0.5,0.125,100,48,0.48,0.384645517580519,0.5768342223477603,0.36052974882001765
-30.5,0.5,0.25,100,36,0.36,0.2727122040140433,0.4576459754839126,0.3960103304599488
-30.5,0.5,0.375,100,17,0.17,0.10893566114059931,0.25548004767601123,0.4336856384399925
-30.5,0.5,0.5,100,13,0.13,0.07757167427240512,0.20980351440076428,0.43272293406000245
-31.0,0.5,0.0,100,22,0.22,0.150012823846054,0.31070353514985793,0.428103958169977
-31.0,0.5,0.125,100,18,0.18,0.1170022549894635,0.2666735838630073,0.48041086987000653
-31.0,0.5,0.25,100,15,0.15,0.0930598528365663,0.23283559590832364,0.4503913608999983
-31.0,0.5,0.375,100,4,0.04,0.01566330399154762,0.0983707143588792,0.4585418471799994
-31.0,0.5,0.5,100,3,0.03,0.010254524024038925,0.0845193642905276,0.4358629977700002
