message,condition,n,successes,p_decode,Wilson95_low,Wilson95_high
K1ABC FN42 33,awgn,100,56,0.56,0.4622810465167699,0.6532797336983921
W9XYZ EN52 20,awgn,100,50,0.5,0.4038315303659956,0.5961684696340044
N0CAL DM79 37,awgn,100,56,0.56,0.4622810465167699,0.6532797336983921
G4AAA IO91 10,awgn,100,51,0.51,0.4134801193402717,0.6057800106955886
M0BEE JO02 30,awgn,100,51,0.51,0.4134801193402717,0.6057800106955886
VK2ZZ QF56 23,awgn,100,55,0.55,0.45244602997442135,0.6438546202048803
JA1QRS PM95 17,awgn,100,53,0.53,0.4328885697009936,0.6248918204065872
F5ABC JN18 40,awgn,100,51,0.51,0.4134801193402717,0.6057800106955886
K1ABC FN42 33,linear_drift,100,61,0.61,0.5120301704584073,0.6998312599360558
W9XYZ EN52 20,linear_drift,100,47,0.47,0.3751081795934127,0.5671114302990063
N0CAL DM79 37,linear_drift,100,55,0.55,0.45244602997442135,0.6438546202048803
G4AAA IO91 10,linear_drift,100,49,0.49,0.3942199893044113,0.5865198806597283
M0BEE JO02 30,linear_drift,100,47,0.47,0.3751081795934127,0.5671114302990063
VK2ZZ QF56 23,linear_drift,100,51,0.51,0.4134801193402717,0.6057800106955886
JA1QRS PM95 17,linear_drift,100,46,0.46,0.36560808309024106,0.5573513967663177
F5ABC JN18 40,linear_drift,100,58,0.58,0.4820648670304296,0.6720161732564526
K1ABC FN42 33,quadratic_residual,100,48,0.48,0.384645517580519,0.5768342223477603
W9XYZ EN52 20,quadratic_residual,100,45,0.45,0.3561453797951198,0.5475539700255787
N0CAL DM79 37,quadratic_residual,100,56,0.56,0.4622810465167699,0.6532797336983921
G4AAA IO91 10,quadratic_residual,100,47,0.47,0.3751081795934127,0.5671114302990063
M0BEE JO02 30,quadratic_residual,100,53,0.53,0.4328885697009936,0.6248918204065872
VK2ZZ QF56 23,quadratic_residual,100,46,0.46,0.36560808309024106,0.5573513967663177
JA1QRS PM95 17,quadratic_residual,100,54,0.54,0.44264860323368227,0.6343919169097589
F5ABC JN18 40,quadratic_residual,100,52,0.52,0.4231657776522397,0.615354482419481
