message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,2,2026102002,1,K1ABC FN42 33,-31,0,0.2517658039999997
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,3,2026102003,1,K1ABC FN42 33,-31,0,0.2657430069999993
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,0,2026102000,1,K1ABC FN42 33,-32,0,0.29962455799999965
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,6,2026102006,1,K1ABC FN42 33,-31,0,0.14509254799999916
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,1,2026102001,0,,,,0.45569966300000075
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,5,2026102005,1,K1ABC FN42 33,-32,0,0.2940186259999997
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,7,2026102007,1,K1ABC FN42 33,-31,0,0.29318251600000167
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,4,2026102004,0,,,,0.5395782950000001
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,8,2026102008,0,,,,0.5443898629999993
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,9,2026102009,0,,,,0.43705361400000164
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,12,2026102012,0,,,,0.040738728999999196
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,10,2026102010,1,K1ABC FN42 33,-30,0,0.3328907129999994
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,11,2026102011,0,,,,0.526470818
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,15,2026102015,1,K1ABC FN42 33,-31,0,0.2660053649999998
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,13,2026102013,0,,,,0.5106455519999997
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,14,2026102014,0,,,,0.5237563910000009
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,16,2026102016,1,K1ABC FN42 33,-31,0,0.25975349999999864
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,17,2026102017,0,,,,0.4183186990000003
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,18,2026102018,1,K1ABC FN42 33,-31,0,0.2445313819999999
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,19,2026102019,1,K1ABC FN42 33,-31,0,0.23471083399999948
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,22,2026102022,1,K1ABC FN42 33,-32,0,0.140904162
K1ABC FN42 33,K1ABC,FN42,33,awgn,-31.5,0.0,0.0,20,2026102020,1,K1ABC FN42 33,-33,0,0.3321667599999998
