snr_db,A_res_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-29.5,0.0,100,100,1.0,0.9630065017930143,1.0,0.11470430649000264
-29.5,0.125,100,100,1.0,0.9630065017930143,1.0,0.1192744910900069
-29.5,0.25,100,97,0.97,0.9154806357094724,0.9897454759759611,0.1308114486299928
-29.5,0.375,100,86,0.86,0.7786281178903616,0.9147365634006086,0.1903012971400085
-29.5,0.5,100,59,0.59,0.4920143005341078,0.6813268697886348,0.2701274540599934
-29.5,0.75,100,30,0.3,0.2189488529493276,0.3958485463334666,0.3770938748399681
-29.5,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735,0.3385517694600048
-30.0,0.0,100,98,0.98,0.929988209271456,0.9944980324498376,0.1900249871199867
-30.0,0.125,100,95,0.95,0.8882495307680808,0.9784563208456319,0.21496731884999462
-30.0,0.25,100,83,0.83,0.7445199523239887,0.8910643388594006,0.2387991777700199
-30.0,0.375,100,60,0.6,0.5020025867910618,0.6905987135675411,0.2931175555799882
-30.0,0.5,100,41,0.41,0.3186731302113651,0.5079856994658921,0.35308979615002956
-30.0,0.75,100,8,0.08,0.041093461484380624,0.14998107700948735,0.4328850486700276
-30.0,1.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.3352521301100114
-30.5,0.0,100,87,0.87,0.7901964855992357,0.9224283257275948,0.26238250269000674
-30.5,0.125,100,81,0.81,0.7222115462093562,0.8748524849023126,0.2996145707200185
-30.5,0.25,100,71,0.71,0.6146110882442888,0.7898516425087772,0.32760127945000933
-30.5,0.375,100,28,0.28,0.20139685211186212,0.3748802870992116,0.4274372975899769
-30.5,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345,0.47156384738998897
-30.5,0.75,100,2,0.02,0.00550196755016235,0.07001179072854388,0.4388208126700192
-30.5,1.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.2814231770099923
-31.0,0.0,100,82,0.82,0.7333264161369926,0.8829977450105364,0.3128508830299825
-31.0,0.125,100,68,0.68,0.5833738138954762,0.7633085267500092,0.34943485448998673
-31.0,0.25,100,39,0.39,0.3001687400639441,0.4879698295415926,0.39073179294001875
-31.0,0.375,100,13,0.13,0.07757167427240512,0.20980351440076428,0.4443376918000149
-31.0,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735,0.45899771259001226
-31.0,0.75,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.3849346071099899
-31.0,1.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.18236489382001764
