snr_db,sigma_step_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-30.0,0.01,200,187,0.935,0.8919809207009312,0.961623645350847,0.20194147990498096
-30.0,0.02,200,189,0.945,0.9042130012276914,0.9690146582965411,0.20153291012997215
-30.0,0.04,200,163,0.815,0.7554293723884824,0.8626980719938395,0.2405781958550142
-30.0,0.08,200,69,0.345,0.2825979437674894,0.4132441074094632,0.36816889895498206
-30.5,0.01,200,177,0.885,0.8333528310151243,0.9221362676743804,0.25429238228007306
-30.5,0.02,200,159,0.795,0.7337430194757748,0.8451382379616379,0.2892801862199758
-30.5,0.04,200,135,0.675,0.6073198511602996,0.7360842846076571,0.3311153272950105
-30.5,0.08,200,35,0.175,0.12860515066273331,0.23364431148248993,0.412585604965052
-31.0,0.01,200,149,0.745,0.6803707417954529,0.8003950482796865,0.329988765889957
-31.0,0.02,200,124,0.62,0.5510671801561923,0.6844099415132637,0.3590591851700901
-31.0,0.04,200,71,0.355,0.2919862754043116,0.42347886924509565,0.4190360534299816
-31.0,0.08,200,7,0.035,0.017055542008567192,0.07047061152229073,0.4323785537599542
