snr_db,signed_A_res_hz,n,successes,p_decode,Wilson95_low,Wilson95_high
-30.0,0.25,100,91,0.91,0.837737871472837,0.9519274599974348
-30.0,-0.25,100,89,0.89,0.8136870349691969,0.9374580364293543
-30.0,0.5,100,35,0.35,0.26364248243097527,0.44745556703112027
-30.0,-0.5,100,36,0.36,0.2727122040140433,0.4576459754839126
-30.5,0.25,100,72,0.72,0.6251197129007884,0.7986031478881379
-30.5,-0.25,100,70,0.7,0.6041514536665332,0.7810511470506724
-30.5,0.5,100,13,0.13,0.07757167427240512,0.20980351440076428
-30.5,-0.5,100,19,0.19,0.12514751509768735,0.27778845379064376
-31.0,0.25,100,49,0.49,0.3942199893044113,0.5865198806597283
-31.0,-0.25,100,49,0.49,0.3942199893044113,0.5865198806597283
-31.0,0.5,100,3,0.03,0.010254524024038925,0.0845193642905276
-31.0,-0.5,100,7,0.07,0.03431926106727268,0.137495147390735
