snr_db,signed_A_res_hz,abs_A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.25,0.25,1,2026100201,1,K1ABC FN42 33,-29,0,10.140200,0.2812524230002964
-30.0,0.25,0.25,2,2026100202,1,K1ABC FN42 33,-31,0,10.140200,0.28722538000056375
-30.0,0.25,0.25,0,2026100200,1,K1ABC FN42 33,-30,0,10.140200,0.2980790680003338
-30.0,0.25,0.25,3,2026100203,1,K1ABC FN42 33,-30,0,10.140200,0.31963309999991907
-30.0,0.25,0.25,5,2026100205,1,K1ABC FN42 33,-29,0,10.140200,0.2557299790005345
-30.0,0.25,0.25,4,2026100204,1,K1ABC FN42 33,-30,0,10.140200,0.28980580500046926
-30.0,0.25,0.25,7,2026100207,1,K1ABC FN42 33,-29,0,10.140200,0.25538733399935154
-30.0,0.25,0.25,6,2026100206,1,K1ABC FN42 33,-30,0,10.140200,0.29272803500043665
-30.0,0.25,0.25,8,2026100208,1,K1ABC FN42 33,-30,0,10.140200,0.05296650000036607
-30.0,0.25,0.25,10,2026100210,1,K1ABC FN42 33,-29,0,10.140200,0.05764266400001361
-30.0,0.25,0.25,11,2026100211,1,K1ABC FN42 33,-30,0,10.140200,0.05284407299950544
-30.0,0.25,0.25,12,2026100212,1,K1ABC FN42 33,-30,0,10.140200,0.05523412200000166
-30.0,0.25,0.25,15,2026100215,1,K1ABC FN42 33,-30,0,10.140200,0.05557845499970426
-30.0,0.25,0.25,16,2026100216,1,K1ABC FN42 33,-29,0,10.140200,0.05034379700009595
-30.0,0.25,0.25,9,2026100209,1,K1ABC FN42 33,-29,0,10.140200,0.266437365999991
-30.0,0.25,0.25,14,2026100214,1,K1ABC FN42 33,-30,0,10.140200,0.2444501500003753
-30.0,0.25,0.25,17,2026100217,1,K1ABC FN42 33,-30,0,10.140200,0.2937457940006425
-30.0,0.25,0.25,20,2026100220,1,K1ABC FN42 33,-29,0,10.140200,0.06595539699992514
-30.0,0.25,0.25,19,2026100219,1,K1ABC FN42 33,-30,0,10.140200,0.26156034100040415
-30.0,0.25,0.25,13,2026100213,0,,,,,0.5392288760003794
-30.0,0.25,0.25,21,2026100221,1,K1ABC FN42 33,-30,0,10.140200,0.07208513399928052
-30.0,0.25,0.25,22,2026100222,1,K1ABC FN42 33,-30,0,10.140200,0.09115866100000858
-30.0,0.25,0.25,24,2026100224,1,K1ABC FN42 33,-29,0,10.140200,0.0632000790001257
-30.0,0.25,0.25,23,2026100223,1,K1ABC FN42 33,-30,0,10.140200,0.09340428900031839
-30.0,0.25,0.25,27,2026100227,1,K1ABC FN42 33,-30,0,10.140200,0.05036150199975964
-30.0,0.25,0.25,25,2026100225,1,K1ABC FN42 33,-30,0,10.140200,0.08667276300002413
-30.0,0.25,0.25,28,2026100228,1,K1ABC FN42 33,-29,0,10.140200,0.05350397400070506
-30.0,0.25,0.25,18,2026100218,0,,,,,0.5721911269993143
-30.0,0.25,0.25,29,2026100229,1,K1ABC FN42 33,-30,0,10.140200,0.08726529700015817
-30.0,0.25,0.25,31,2026100231,1,K1ABC FN42 33,-30,0,10.140200,0.053819509999812
-30.0,0.25,0.25,32,2026100232,1,K1ABC FN42 33,-29,0,10.140200,0.05515330599973822
-30.0,0.25,0.25,34,2026100234,1,K1ABC FN42 33,-29,0,10.140200,0.07682429000033153
-30.0,0.25,0.25,33,2026100233,1,K1ABC FN42 33,-30,0,10.140200,0.111287892999826
-30.0,0.25,0.25,35,2026100235,1,K1ABC FN42 33,-29,0,10.140200,0.05561487099930673
-30.0,0.25,0.25,30,2026100230,1,K1ABC FN42 33,-30,0,10.140200,0.2523177989996839
-30.0,0.25,0.25,26,2026100226,0,,,,,0.5344994389997737
-30.0,0.25,0.25,36,2026100236,1,K1ABC FN42 33,-30,0,10.140200,0.23203638500035595
-30.0,0.25,0.25,39,2026100239,1,K1ABC FN42 33,-30,0,10.140200,0.0459568180003771
-30.0,0.25,0.25,40,2026100240,1,K1ABC FN42 33,-30,0,10.140200,0.051102745000207506
-30.0,0.25,0.25,38,2026100238,1,K1ABC FN42 33,-29,0,10.140200,0.24985378699966532
-30.0,0.25,0.25,37,2026100237,1,K1ABC FN42 33,-30,0,10.140200,0.2839245599998321
-30.0,0.25,0.25,41,2026100241,1,K1ABC FN42 33,-30,0,10.140200,0.06140352799957327
