impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
cfo,-29.0,-150.0,20,0,0.0,0.0,0.16112515805281938,0.06627978034998705
cfo,-29.0,-100.0,20,20,1.0,0.8388748419471806,1.0,0.07339435634999063
cfo,-29.0,-50.0,20,20,1.0,0.8388748419471806,1.0,0.07702077880003344
cfo,-29.0,-20.0,20,20,1.0,0.8388748419471806,1.0,0.07861164000005375
cfo,-29.0,-10.0,20,20,1.0,0.8388748419471806,1.0,0.08258547184998406
cfo,-29.0,-5.0,20,20,1.0,0.8388748419471806,1.0,0.0919361407499764
cfo,-29.0,0.0,20,20,1.0,0.8388748419471806,1.0,0.069883592449969
cfo,-29.0,5.0,20,20,1.0,0.8388748419471806,1.0,0.07331494105005731
cfo,-29.0,10.0,20,20,1.0,0.8388748419471806,1.0,0.0812205744499579
cfo,-29.0,20.0,20,20,1.0,0.8388748419471806,1.0,0.08936423810002907
cfo,-29.0,50.0,20,20,1.0,0.8388748419471806,1.0,0.09580480444999466
cfo,-29.0,100.0,20,20,1.0,0.8388748419471806,1.0,0.07186120899998513
cfo,-29.0,150.0,20,0,0.0,0.0,0.16112515805281938,0.051838512100016484
cfo,-31.0,-150.0,20,0,0.0,0.0,0.16112515805281938,0.04854467424995619
cfo,-31.0,-100.0,20,11,0.55,0.34208534245034233,0.7418021417443759,0.39052762229998733
cfo,-31.0,-50.0,20,12,0.6,0.3865815007622531,0.781193467627183,0.40440346524994764
cfo,-31.0,-20.0,20,12,0.6,0.3865815007622531,0.781193467627183,0.31531445160003385
cfo,-31.0,-10.0,20,12,0.6,0.3865815007622531,0.781193467627183,0.31525595425000574
cfo,-31.0,-5.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.3065907157499851
cfo,-31.0,0.0,20,14,0.7,0.4810271816464765,0.8545227551323956,0.33747846385003866
cfo,-31.0,5.0,20,18,0.9,0.6989663547715128,0.9721335187862319,0.26929421615002413
cfo,-31.0,10.0,20,14,0.7,0.4810271816464765,0.8545227551323956,0.3212761147999572
cfo,-31.0,20.0,20,10,0.5,0.2992980081982123,0.7007019918017877,0.3269256002500242
cfo,-31.0,50.0,20,11,0.55,0.34208534245034233,0.7418021417443759,0.31754196439999305
cfo,-31.0,100.0,20,13,0.65,0.43285427668523624,0.818808175898918,0.30087855590002166
cfo,-31.0,150.0,20,0,0.0,0.0,0.16112515805281938,0.04594342530006088
cfo,-32.0,-150.0,20,0,0.0,0.0,0.16112515805281938,0.054177663550012765
cfo,-32.0,-100.0,20,4,0.2,0.08065766257979806,0.41601743225189364,0.3059432524499698
cfo,-32.0,-50.0,20,1,0.05,0.008881448800795402,0.23613119344674205,0.38827322840004397
cfo,-32.0,-20.0,20,4,0.2,0.08065766257979806,0.41601743225189364,0.2929888566500495
cfo,-32.0,-10.0,20,5,0.25,0.11186170140766569,0.468700877618744,0.32460183609998694
cfo,-32.0,-5.0,20,3,0.15,0.052368745896216595,0.36041886474075696,0.3490688317500144
cfo,-32.0,0.0,20,4,0.2,0.08065766257979806,0.41601743225189364,0.29350232809990756
cfo,-32.0,5.0,20,5,0.25,0.11186170140766569,0.468700877618744,0.3535797291500103
cfo,-32.0,10.0,20,4,0.2,0.08065766257979806,0.41601743225189364,0.2990799129500147
cfo,-32.0,20.0,20,2,0.1,0.027866481213768224,0.3010336452284873,0.2899282589999757
cfo,-32.0,50.0,20,5,0.25,0.11186170140766569,0.468700877618744,0.3575110689999974
cfo,-32.0,100.0,20,4,0.2,0.08065766257979806,0.41601743225189364,0.2407690066999976
cfo,-32.0,150.0,20,0,0.0,0.0,0.16112515805281938,0.04390724685006262
