experiment,trial_id,seed,message,snr_db,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_cfo,12000019,2027300019,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.045093000999713695,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000018,2027300018,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.0432254100001046,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000017,2027300017,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.06166454499998508,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000016,2027300016,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.06550913299997774,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000015,2027300015,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.04783937899992452,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000014,2027300014,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.04477010299979156,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000013,2027300013,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.04368102499984161,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000012,2027300012,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.0447284730003048,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000011,2027300011,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.046755215999837674,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000010,2027300010,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.05026211099993816,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000009,2027300009,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.05093689700015602,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000008,2027300008,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.04950397899983727,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000007,2027300007,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.044613095999920915,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000006,2027300006,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.0473707590003869,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000005,2027300005,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.043233263000274746,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000004,2027300004,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.04585218800002622,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000003,2027300003,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.06704408099994907,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000002,2027300002,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.06860271200002899,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000001,2027300001,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.061452455000107875,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,12000000,2027300000,K1ABC FN42 33,-29.0,cfo,150.0,,,,0,,,,,0,0.06463241600022229,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_cfo,11000019,2027200019,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.052764682000088214,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000018,2027200018,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-28,10.140300,0,0,0.06325341000001572,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28  0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000017,2027200017,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.05654423499981931,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000016,2027200016,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.05212059399991631,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000015,2027200015,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.053071393000209355,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000014,2027200014,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.057100179999906686,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000013,2027200013,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.0553630819999853,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000012,2027200012,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-28,10.140300,0,0,0.06411632700019254,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28  0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000011,2027200011,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.07359448999977758,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000010,2027200010,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.057046545000048354,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000009,2027200009,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.05899272199985717,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000008,2027200008,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.06041965100030211,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,11000007,2027200007,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-29,10.140300,0,0,0.05727711500003352,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
