experiment,trial_id,seed,message,snr_db,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,2000199,2026700199,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.05160341900000276,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000198,2026700198,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,1,0,0.05242281099981483,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  1  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000197,2026700197,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,1,0,0.05008922500019253,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  1  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000196,2026700196,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.0462627430001703,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000195,2026700195,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.05028959599985683,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000194,2026700194,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.049128630999803136,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000193,2026700193,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,1,0,0.04608896599984291,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.0  10.140200  1  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000192,2026700192,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.04342179200011742,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000191,2026700191,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.07208021199994619,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000190,2026700190,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-28,10.140200,2,0,0.08719164400008594,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000189,2026700189,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.04890185800013569,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000188,2026700188,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.08325409999997646,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000187,2026700187,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.04784394300031636,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000186,2026700186,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.05314939799973217,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000185,2026700185,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,1,0,0.045444715000030556,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  1  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000184,2026700184,K1ABC FN42 33,-29.0,linear,,2.0,,,0,,,,,0,0.1411763159999282,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000183,2026700183,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.052376887000264105,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000182,2026700182,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.04487244399979318,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000181,2026700181,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-29,10.140200,2,0,0.052340552999794454,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2000180,2026700180,K1ABC FN42 33,-29.0,linear,,2.0,,,1,K1ABC FN42 33,-30,10.140200,2,0,0.07815867199997228,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.1  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
