impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-29.0,-4.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.09581127919996106
linear,-29.0,-2.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.07773109249997105
linear,-29.0,0.0,20,20,1.0,0.8388748419471806,1.0,0.06896578150003733
linear,-29.0,2.0,20,17,0.85,0.6395811352592431,0.9476312541037835,0.08314979394997409
linear,-29.0,4.0,20,17,0.85,0.6395811352592431,0.9476312541037835,0.07846682854999472
linear,-31.0,-4.0,20,2,0.1,0.027866481213768224,0.3010336452284873,0.13014255280006637
linear,-31.0,-2.0,20,0,0.0,0.0,0.16112515805281938,0.10018254024998896
linear,-31.0,0.0,20,14,0.7,0.4810271816464765,0.8545227551323956,0.3708008358500138
linear,-31.0,2.0,20,0,0.0,0.0,0.16112515805281938,0.1386452694499667
linear,-31.0,4.0,20,1,0.05,0.008881448800795402,0.23613119344674205,0.12413213840004574
