experiment,trial_id,seed,message,snr_db,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,4000019,2026700019,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.04993100100000447,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.0  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000018,2026700018,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.0626314339997407,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.0  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000017,2026700017,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-29,10.140200,4,0,0.05346144599980107,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000016,2026700016,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,3,0,0.048144176000278094,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.0  10.140200  3  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000015,2026700015,K1ABC FN42 33,-29.0,linear,,4.0,,,0,,,,,0,0.16500911699995413,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,4000014,2026700014,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-31,10.140200,4,0,0.049569381000310386,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -31 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000013,2026700013,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-29,10.140200,4,0,0.05819321199987826,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000012,2026700012,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-29,10.140200,4,0,0.04981965900014984,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.0  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000011,2026700011,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.11101208599984602,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000010,2026700010,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.0542921149999529,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.0  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000009,2026700009,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.07593646400027865,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000008,2026700008,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-30,10.140200,4,0,0.05747106499984511,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000007,2026700007,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-32,10.140200,4,0,0.05372917300019253,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -32 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4000006,2026700006,K1ABC FN42 33,-29.0,linear,,4.0,,,1,K1ABC FN42 33,-29,10.140200,4,0,0.05050700499987215,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  4  K1ABC FN42 33 
<DecodeFinished>",
