experiment,trial_id,seed,message,snr_db,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,2000199,2026292779,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.14551478100020176,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000198,2026292778,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.03846041599990713,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000197,2026292777,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.14240681799947197,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000196,2026292776,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.13924976199996308,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000195,2026292775,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.1359403589995054,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000194,2026292774,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.14297430599981453,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000193,2026292773,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.055520694999358966,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000192,2026292772,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.04509001200040075,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000191,2026292771,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.1348895060000359,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000190,2026292770,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.04823050799950579,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000189,2026292769,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.15167956599998433,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000188,2026292768,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.039235231000020576,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000187,2026292767,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.04292335199988884,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000186,2026292766,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.14941749400077242,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000185,2026292765,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.0427291209998657,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000184,2026292764,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.16048228699946776,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,2000183,2026292763,K1ABC FN42 33,-31.0,linear,,2.0,,,0,,,,,0,0.062477759000103106,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
