impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-29.0,-6.0,20,1,0.05,0.008881448800795402,0.23613119344674205,0.09315929270001107
linear,-29.0,-5.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.07791387904997009
linear,-29.0,-4.0,20,15,0.75,0.531299122381256,0.8881382985923343,0.11292013325005427
linear,-29.0,-2.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.12897505129994896
linear,-29.0,0.0,20,20,1.0,0.8388748419471806,1.0,0.07458880140004567
linear,-29.0,2.0,20,18,0.9,0.6989663547715128,0.9721335187862319,0.0774839228500241
linear,-29.0,4.0,20,13,0.65,0.43285427668523624,0.818808175898918,0.09374134205002065
linear,-29.0,5.0,20,17,0.85,0.6395811352592431,0.9476312541037835,0.07872276079995118
linear,-29.0,6.0,20,0,0.0,0.0,0.16112515805281938,0.07292744804999529
linear,-31.0,-6.0,20,0,0.0,0.0,0.16112515805281938,0.0662404640999739
linear,-31.0,-5.0,20,0,0.0,0.0,0.16112515805281938,0.10376769475005858
linear,-31.0,-4.0,20,0,0.0,0.0,0.16112515805281938,0.10269326529999034
linear,-31.0,-2.0,20,0,0.0,0.0,0.16112515805281938,0.10952678449998529
linear,-31.0,0.0,20,16,0.8,0.5839825677481064,0.919342337420202,0.3370006973500267
linear,-31.0,2.0,20,1,0.05,0.008881448800795402,0.23613119344674205,0.12026460420001968
linear,-31.0,4.0,20,0,0.0,0.0,0.16112515805281938,0.10800017235005725
linear,-31.0,5.0,20,1,0.05,0.008881448800795402,0.23613119344674205,0.09467369285000586
linear,-31.0,6.0,20,0,0.0,0.0,0.16112515805281938,0.0633050296000647
linear,-32.0,-6.0,20,0,0.0,0.0,0.16112515805281938,0.05142383880001944
linear,-32.0,-5.0,20,0,0.0,0.0,0.16112515805281938,0.0629697554500126
linear,-32.0,-4.0,20,0,0.0,0.0,0.16112515805281938,0.07920232520004902
linear,-32.0,-2.0,20,0,0.0,0.0,0.16112515805281938,0.07425403944994287
linear,-32.0,0.0,20,9,0.45,0.2581978582556243,0.6579146575496577,0.29547597034998035
linear,-32.0,2.0,20,0,0.0,0.0,0.16112515805281938,0.08001226904996202
linear,-32.0,4.0,20,0,0.0,0.0,0.16112515805281938,0.06858306695003194
linear,-32.0,5.0,20,0,0.0,0.0,0.16112515805281938,0.06529568339997241
linear,-32.0,6.0,20,0,0.0,0.0,0.16112515805281938,0.04661355445005029
