experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,199,2026092721,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1544125559994427,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,198,2026092720,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.15010868900026253,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,197,2026092719,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.14871832099925086,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,196,2026092718,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.15594730799966783,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,195,2026092717,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.15829768600087846,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,194,2026092716,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.15407503099959285,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,193,2026092715,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.16062721600064833,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,192,2026092714,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.055993291000049794,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,191,2026092713,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.06830446999993,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,190,2026092712,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.05208117100119125,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,189,2026092711,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.06826653400094074,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,188,2026092710,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,1,K1ABC FN42 33,-31,10.140200,-1,0,0.06315478500073368,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -31 -0.0  10.140200 -1  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,187,2026092709,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1439188659987849,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,186,2026092708,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.15164888099934615,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,185,2026092707,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1528168269996968,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,184,2026092706,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.054199938000238035,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,183,2026092705,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.04941212199992151,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,182,2026092704,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1396872209988942,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,181,2026092703,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1418251830000372,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,180,2026092702,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.038951406999331084,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,179,2026092701,K1ABC FN42 33,-31.0,False,linear,,-2.0,,,0,,,,,0,0.1510075610003696,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
