experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,199,2026092720,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.0648867470008554,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,198,2026092719,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15399097099907522,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,197,2026092718,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15386270400085778,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,196,2026092717,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05568312699870148,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,195,2026092716,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.06297376499969687,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,194,2026092715,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.13996424099968863,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,193,2026092714,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15843269899960433,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,192,2026092713,K1ABC FN42 33,-31.0,False,linear,,2.0,,,1,K1ABC FN42 33,-31,10.140200,2,0,0.04373648000000685,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -31 -0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,191,2026092712,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14319290200000978,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,190,2026092711,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14913789999991423,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,189,2026092710,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.05564625000079104,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
