experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,19,2026092530,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05248994199973822,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,18,2026092529,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05283467300068878,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,17,2026092528,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.058108897999773035,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,16,2026092527,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.0609224149993679,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,15,2026092526,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05150396599856322,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,14,2026092525,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.054534282000531675,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,13,2026092524,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.053219280000121216,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,12,2026092523,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05632115899970813,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,11,2026092522,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05145357899891678,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,10,2026092521,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05413469700033602,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,9,2026092520,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05089478800073266,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,8,2026092519,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05342223799925705,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,7,2026092518,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.05037516999982472,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,6,2026092517,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.058652243998949416,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,5,2026092516,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.06921535599940398,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,4,2026092515,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.06863811800030817,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,3,2026092514,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.1031424100001459,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,2,2026092513,K1ABC FN42 33,-20.0,False,linear,,1.0,,,1,K1ABC FN42 33,-20,10.140200,0,0,0.11338434800018149,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -20  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
